TopicID,TopicName,Level1_Category,Level2_Category,Level3_Category,Level4_Category
951,computer modeling,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.3 Scientific Computing,
339,Design and analysis of algorithms,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
582,Digital Human Modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
1071,Generative Modeling,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.2 Deep Learning & Neural Networks,
1054,human behavior modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
717,Human Behavior Modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
630,Human Body Modeling,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
699,Human performance modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
1053,human performance modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
719,Infectious Disease Modeling,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.4 Public Health,
1244,Infectious Diseases Modeling,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.4 Public Health,
848,modeling,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.4 Mathematical Modeling,
1107,predictive modeling,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
357,Randomized Algorithms,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
1169,Tensor Decomposition,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.2 Computational Mathematics,
321,Theoretical computer science,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
94,Advanced Immunotherapies,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
115,Bioengineering,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
1090,bioengineering,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
1005,biofabrication,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.3 Biomaterials,
24,Biofilms,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
1125,Bioimpedance,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
786,biolocomotion,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
25,Biomineralization,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.3 Biomaterials,
684,Biomineralizing tissues,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
65,Bioprinting,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.3 Biomaterials,
27,Biosensors,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.3 Medical Devices & Instrumentation,
26,Biosurfactants,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.3 Synthetic Biology,
10,Cell and Developmental Biology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
1308,Cell motility,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
3,Fibroblast Biology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
18,Fibrosis,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
1204,gene therapy,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
1088,immunotherapy,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
93,Inflammation-Fibrosis,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
1080,mechanobiology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
34,Mechanobiology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
15,Mechanotransduction,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
809,Neurodevelopmental disorders,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.4 Neuroscience & Neural Engineering,
547,Orthopaedic Implants,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.3 Medical Devices & Instrumentation,
930,Orthopaedics,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
8,Quantitative Biosciences,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
1233,Single-Cell Biology,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
1212,Skeletal development and evolution,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
28,Structural Biology,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.2 Bioinformatics & Computational Biology,
67,Theranostics and Image-Guided Therapies,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
14,Translational Science,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
55,Tumor Heterogeneity,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
944,tyrosine phosphorylation,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
60,Drug and Cell Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
88,Drug and Gene Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
1183,Drug Discovery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
963,Emergency medicine,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
1322,Emergency Medicine,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
1202,health equity,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.2 Healthcare Systems,
1292,Medicine,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
1258,Precision Health,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.1 Digital Health,
97,Precision Medicine,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.1 Digital Health,
1140,coding theory,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
342,Compiler construction,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
355,Compilers,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
341,Complexity theory,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
351,Computer Game Design,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
90,Computer Graphics and Vision,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.3 Computer Vision & Image Processing,
842,computer science,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
909,Computer science,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
297,CS in Humanities,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
774,CS1,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.1 CS Education,
1188,Cyberinfrastructure,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.3 Distributed & Cloud Computing,
1217,Data Provenance,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.3 Database Systems,
799,data science,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
1168,Data Science,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
1243,Data-Driven Decision-Making,9. Interdisciplinary & Emerging Fields,9.6 Business & Economics Applications,9.6.1 Business Analytics,
581,Data-driven Design and Engineering,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
762,Dynamic Programming,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
777,error messages,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
1314,heterogeneous computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
318,High-performance computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.2 High Performance Computing,
1122,high-performance computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.2 High Performance Computing,
1330,High-Performance Computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.2 High Performance Computing,
274,Information and Coding Theory,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
1139,Information theory,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
198,Internet of Things,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.4 Embedded Systems,
1218,Intrusion Detection,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.2 Cybersecurity,
914,Language Models,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.4 Natural Language Processing,
336,Mobile Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.3 Ubiquitous Computing,
410,Number Theory,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.1 Applied Mathematics,
257,Programming Languages and Compilers,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
1033,Secure Computation,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.2 Cybersecurity,
895,Secure Internet of Things,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.2 Cybersecurity,
330,Social Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
1170,Surveillance,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.4 Privacy & Trust,
260,Threshold Signatures,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
989,Theory of Computation,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
261,Zero-knowledge Proofs,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
1198,Scalable computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.2 High Performance Computing,
615,Anthropomorphic test device,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
822,bio-inspired flow,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
807,Complex fluids,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
851,coupled,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.2 Computational Mechanics,
794,dislocations,3. Materials Science & Engineering,3.5 Structural Materials,3.5.1 Metals & Alloys,
864,fatigue,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.3 Fracture & Fatigue,
689,Fluid-structure interactions,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
411,Fluid-Structure Interactions,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
826,fish swimming,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
855,flow instrumentation,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
586,Hypersonics,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.1 Aerodynamics,
1195,hypersonics,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.1 Aerodynamics,
565,Impact/shock mitigation,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.3 Fracture & Fatigue,
611,Mechanisms prediction pedestrian,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
429,Mechatronics,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.2 Robotics,
653,Micro/nanomechanics,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.2 Computational Mechanics,
609,Morphing structures/biomimetics,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.4 Smart Structures,
1186,Occupant Protection,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.2 Safety Engineering,
1226,Rotating Machinery,5. Mechanical & Aerospace Engineering,5.5 Dynamics & Vibrations,5.5.2 Vibration Control,
644,Rotating machinery,5. Mechanical & Aerospace Engineering,5.5 Dynamics & Vibrations,5.5.2 Vibration Control,
1324,Shock,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.3 Fracture & Fatigue,
892,Sports Injuries,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
891,Vehicle Crashworthiness,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
788,vehicle stability,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.3 Flight Mechanics,
658,Turbulence Multiphase Flow,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
1074,mechanical engineering,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.1 Structural Mechanics,
897,Bridge Engineering,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.1 Structural Analysis,
861,coastal oceanography,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.3 Environmental Engineering,
898,Condition Assessment,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.3 Structural Health Monitoring,
859,Construction Engineering and Management,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.1 Construction Management,
939,construction of expertise,9. Interdisciplinary & Emerging Fields,9.3 Engineering Education & Research,9.3.1 Engineering Education,
180,Design,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
171,Infrastructure Condition Assessment,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.3 Structural Health Monitoring,
