CourseID,InstructorID,Semesters
8,328,"Summer 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Spring 2019"
8,329,"Fall 2019,Summer 2019,Spring 2019,Fall 2018,Spring 2018,Spring 2017,Fall 2016,Spring 2016"
8,320,"Spring 2019,Summer 2018"
8,196,Fall 2015
8,185,Fall 2014
9,321,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Spring 2021,Spring 2019,Summer 2018,Spring 2018,Fall 2017,Summer 2017"
9,323,"Fall 2024,Spring 2023,Summer 2022,Spring 2022"
9,328,"Fall 2024,Summer 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018"
9,324,Spring 2024
9,190,"Fall 2023,Fall 2022,Fall 2021"
9,301,"Spring 2023,Fall 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017,Spring 2017,Fall 2016"
9,126,"Spring 2023,Spring 2022"
9,192,Fall 2020
9,320,"Spring 2020,Summer 2019,Spring 2018"
9,329,Summer 2016
10,327,Fall 2024
10,314,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Spring 2019,Spring 2018,Spring 2017,Fall 2016,Spring 2016,Fall 2015,Spring 2015,Fall 2014"
10,325,Fall 2024
10,317,"Spring 2024,Fall 2023"
10,324,Fall 2023
10,320,"Fall 2022,Summer 2022,Spring 2022,Fall 2020,Fall 2019,Fall 2018,Fall 2017"
10,321,Fall 2018
10,328,Fall 2017
10,326,"Spring 2014,Spring 2013,Spring 2012,Spring 2011"
11,320,Fall 2024
11,315,Fall 2024
11,225,Fall 2021
11,326,"Fall 2021,January 2018"
11,321,Fall 2016
12,320,"Spring 2024,Spring 2023"
12,79,Fall 2020
12,294,"Fall 2020,Fall 2019"
12,297,Fall 2017
12,217,Fall 2017
13,314,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017,Spring 2017,Fall 2016,Spring 2016,Fall 2015,Spring 2015,Fall 2014,Spring 2014,Fall 2013,Spring 2013,Fall 2012,Spring 2012,Fall 2011,Spring 2011,Fall 2010,Spring 2010"
13,322,"Fall 2024,Spring 2024,Spring 2023"
13,320,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017"
13,302,"Summer 2024,Summer 2023,Summer 2022,Summer 2021,Summer 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
13,315,Spring 2024
13,323,Spring 2022
13,326,"Spring 2022,Spring 2019,Spring 2018,Spring 2017,Spring 2016,Spring 2015,Spring 2014"
13,321,"Fall 2021,Spring 2020"
14,318,Fall 2024
14,326,"Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Fall 2020,Spring 2020,Fall 2019,Fall 2018,Spring 2018,Fall 2017,Fall 2016"
14,329,"Spring 2019,Spring 2017"
14,240,"Fall 2013,Fall 2012"
15,326,"Spring 2024,Summer 2023,Summer 2021,Summer 2020"
16,328,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022"
16,321,"Fall 2021,Spring 2021,Spring 2020,Fall 2019,Spring 2019,Spring 2018"
17,314,Spring 2022
17,320,Spring 2022
18,314,"Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2018,Spring 2017,Spring 2016,Spring 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2011"
18,328,"Spring 2022,Spring 2021,Spring 2020,Spring 2019"
18,302,"Fall 2021,Fall 2019,Fall 2018"
18,329,"Spring 2019,Spring 2018,Spring 2017"
19,314,"Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2018,Spring 2017"
19,321,"Spring 2022,Fall 2021,Spring 2021,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018"
19,302,"Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Fall 2018,Fall 2017"
19,328,"Fall 2021,Fall 2020,Fall 2019,Fall 2018"
19,329,Spring 2019
20,321,"Spring 2021,Spring 2020,Spring 2019,Spring 2018"
21,314,"Spring 2021,Spring 2020,Fall 2017"
23,329,"Fall 2019,Fall 2017"
24,321,"Fall 2019,Fall 2018,Fall 2017"
26,321,Spring 2017
28,326,Spring 2021
31,4,"Fall 2024,Spring 2024,Fall 2023,Fall 2021,Spring 2021,Fall 2020"
31,16,Fall 2024
31,18,"Spring 2024,Spring 2023,Spring 2022,Spring 2020"
31,17,"Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Fall 2015"
31,7,Spring 2021
31,29,Fall 2020
31,27,"Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017,Spring 2017,Fall 2016,Spring 2016,Fall 2015"
31,10,"Fall 2018,Fall 2017"
32,33,"Fall 2024,Fall 2023,Spring 2018"
32,29,"Spring 2022,Spring 2021,Spring 2019,Spring 2018,Spring 2017,Spring 2016,Spring 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2011,Spring 2010"
32,7,"Fall 2021,Fall 2020,Spring 2020,Fall 2018,Fall 2017"
33,18,"Spring 2024,Spring 2023,Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2018,Spring 2017,Summer 2016,Spring 2016,Summer 2015,Spring 2015"
35,14,Fall 2024
36,18,"Fall 2024,Fall 2022,Fall 2020,Spring 2017,Spring 2016,Spring 2015,Spring 2014"
36,10,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Fall 2021,Spring 2018,Fall 2016,Fall 2015,Spring 2015,Spring 2014,January 2014,Spring 2013"
36,14,"Fall 2023,Fall 2022,Fall 2021,Spring 2021"
36,36,"Fall 2023,Fall 2021,Spring 2019,Spring 2017"
36,25,"Spring 2023,Fall 2021,Spring 2021,Spring 2020"
36,26,"Spring 2023,Spring 2021,Fall 2018,Fall 2016,Fall 2015,Fall 2014,Fall 2012,Fall 2011,Fall 2010,Fall 2009"
36,20,"Spring 2021,Spring 2020,Spring 2019,Spring 2018,Spring 2017,Spring 2015,Spring 2013,Spring 2011,Fall 2009"
36,27,"Spring 2021,Fall 2018,Fall 2016,Fall 2014,Fall 2012,Fall 2011,Fall 2010,Fall 2009"
36,2,"Spring 2021,Fall 2018,Fall 2016,Spring 2015,January 2015,Fall 2014,Spring 2014,January 2014,Spring 2013,Fall 2012,Spring 2012,Fall 2011,Spring 2011,Fall 2010,Spring 2010,Fall 2009"
36,21,"Spring 2018,Spring 2013"
37,15,"Fall 2024,Fall 2023,Fall 2022,Fall 2021,Fall 2020,Fall 2019,Fall 2018,Fall 2017,Fall 2016,Fall 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2011,Spring 2010"
38,27,Fall 2024
39,15,"Fall 2024,Fall 2023,Fall 2022,Fall 2021,Fall 2020,Fall 2019,Fall 2018,Fall 2017,Fall 2016,Fall 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2011,Spring 2010"
40,16,"Fall 2024,Spring 2024,Fall 2023,Spring 2023"
40,27,"Fall 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Fall 2010,Fall 2009"
40,2,"Fall 2010,Spring 2010,Fall 2009"
40,21,Fall 2010
40,274,Fall 2010
40,20,"Fall 2010,Spring 2010"
40,26,"Fall 2010,Spring 2010"
41,11,"Fall 2024,Spring 2024,Spring 2023,Summer 2019,Summer 2018"
41,12,Fall 2024
41,20,"Spring 2024,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,27,"Spring 2024,Spring 2023,Spring 2022,Fall 2019,Summer 2019,Summer 2018,Spring 2018,Summer 2017,Spring 2017,Summer 2016,Spring 2016,Summer 2015,Spring 2015,Summer 2014,Spring 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,13,"Spring 2024,Spring 2023,Fall 2022,Fall 2021"
41,33,"Spring 2024,Fall 2023"
41,10,"Fall 2022,Fall 2021,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,29,"Spring 2021,Summer 2019,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
41,24,"Fall 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,164,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,2,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,7,"Summer 2019,Summer 2018,Fall 2017,Summer 2017,Fall 2016,Summer 2016,Fall 2015,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,15,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,17,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,18,"Summer 2019,Summer 2018,Spring 2018,Summer 2017,Spring 2017,Summer 2016,Spring 2016,Summer 2015,Spring 2015,Summer 2014,Spring 2014,Summer 2013,Spring 2013,Summer 2012,Summer 2011,Summer 2010"
41,21,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,274,"Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,26,"Summer 2019,Spring 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
41,30,Spring 2019
42,7,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,1,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023"
42,49,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020"
42,29,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,35,"Fall 2024,Fall 2023"
42,24,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,26,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,21,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,13,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,15,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,17,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,18,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,20,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,27,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015,Spring 2015,Fall 2014,Summer 2014,Spring 2014,Fall 2013,Summer 2013,Spring 2013,Fall 2012,Summer 2012,Spring 2012,Fall 2011,Summer 2011,Spring 2011,Fall 2010,Summer 2010,Spring 2010,Fall 2009"
42,14,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020"
42,11,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Summer 2015"
42,285,"Fall 2024,Spring 2024,Fall 2023,Spring 2023,Fall 2022,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017,Spring 2017,Fall 2016,Spring 2016,Fall 2015"
42,36,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016"
42,40,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019"
42,9,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Fall 2017"
42,16,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017"
42,6,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018"
42,30,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017"
42,8,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018"
42,12,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020"
42,25,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019"
42,23,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022,Fall 2021,Fall 2020"
42,33,"Fall 2024,Summer 2024,Spring 2024,Fall 2023,Summer 2023,Spring 2023,Fall 2022,Summer 2022,Spring 2022"
42,3,Fall 2024
42,22,Fall 2024
42,180,Fall 2024
42,164,"Summer 2024,Summer 2023,Summer 2022,Summer 2021,Summer 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
42,269,"Spring 2024,Spring 2023,Spring 2022,Fall 2021,Spring 2021,Fall 2020,Spring 2020,Fall 2019,Spring 2019,Fall 2018,Spring 2018,Fall 2017,Spring 2017,Fall 2016,Spring 2016,Fall 2015,Spring 2015,Fall 2014"
42,281,"Spring 2024,Spring 2023,Summer 2022,Spring 2022,Fall 2021,Summer 2021,Spring 2021,Fall 2020,Summer 2020,Spring 2020,Fall 2019,Summer 2019,Spring 2019,Fall 2018,Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017,Fall 2016,Summer 2016,Spring 2016,Fall 2015,Fall 2014"
42,10,"Summer 2022,Fall 2021,Summer 2021,Summer 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
42,2,"Summer 2021,Summer 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
42,83,Spring 2021
42,274,"Summer 2020,Summer 2019,Summer 2018,Summer 2017,Summer 2016,Summer 2015,Summer 2014,Summer 2013,Summer 2012,Summer 2011,Summer 2010"
42,5,"Summer 2018,Spring 2018,Fall 2017,Summer 2017,Spring 2017"
43,2,"Fall 2024,Summer 2024,Fall 2023,Summer 2023,Fall 2022,Summer 2022,Fall 2021,Summer 2021,Fall 2020,Summer 2020,Fall 2019,Summer 2019,Fall 2018,Summer 2018,Fall 2017,Summer 2017,Fall 2016,Summer 2016,Fall 2015,Summer 2015,Fall 2014,Summer 2014,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009"
43,15,"Fall 2024,Fall 2023,Fall 2022,Fall 2021,Fall 2020,Fall 2019,Fall 2018,Fall 2017,Fall 2016,Fall 2015,Fall 2014,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009"
43,20,"Fall 2012,Fall 2011,Fall 2010,Fall 2009"
44,30,"Spring 2024,Spring 2023,Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2018"
45,2,"Spring 2024,Spring 2023,Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2018,Spring 2017,Spring 2016,Spring 2015,Spring 2014,Spring 2013,Spring 2012,Spring 2011,Spring 2010"
45,4,Spring 2020
46,26,Spring 2024
47,9,"Spring 2024,Spring 2023,Spring 2022,Spring 2021,Spring 2020,Spring 2019,Spring 2017"
