ID,Department,Number,Name,Description
18,APMA,8897,Graduate Teaching Instruction,"For master's students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
19,APMA,9897,Graduate Teaching Instruction,"For doctoral students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
20,APMA,2512,Advanced Topics in Applied Mathematics,"Special topics in applied mathematics window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
21,APMA,3081,Linear Algebra for General Vector Spaces,"Analyze and apply systems of linear equations; vector spaces; linear transformations; matrices; determinants; eigenvalues; eigenvectors; coordinates; diagonalization; orthogonality; projections; inner product spaces; quadratic forms; The course is both computational and applicable. MATLAB is frequently used and prior experience in MATLAB (loops, functions, arrays, conditional statements) is helpful. Prerequisite: APMA 2120 or equivalent. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
22,APMA,4993,Independent Reading and Research,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
23,APMA,2131,Systems of Ordinary Differential Equations,"The focus will be on solving systems of ordinary differential equations using basic linear algebra. Techniques for both homogeneous and nonhomogenous systems will be introduced. Time permitting, solving differential equations with the unit step and unit impulse functions will also be covered. Prerequisite: Differential Equations from Virginia Community College or equivalent window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
24,APMA,2511,Advanced Topics in Applied Mathematics,"Special topics in applied mathematics window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
25,APMA,5070,Numerical Methods,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
26,APMA,2502,Special Topics in Applied Mathematics,"The focus will be on solving systems of ordinary differential equations using basic linear algebra. Techniques for both homogeneous and nonhomogenous systems will be introduced. Time permitting, solving differential equations with the unit step and unit impulse functions will also be covered. Prerequisite: Differential Equations from Virginia Community College or equivalent window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
27,APMA,4501,Special Topics in Applied Mathematics,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
28,APMA,6420,Engineering Mathematics II,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
29,APMA,6993,Independent Study,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
30,APMA,7548,Selected Topics in Applied Mathematics,"Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
31,BME,1501,Special Topics,"Student led special topic courses which vary by semester window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
32,BME,2220,Biomechanics,"Intro to fundamentals of cell structure and function, emphasizing the techniques and technologies available for the study of cell biology. Content includes cell structure and function; energy flow in cells; information flow in cells focuses on modern molecular biology and genetic engineering, and includes DNA replication, the cell cycle, gene expression, gene regulation, and protein synthesis. Prerequisite: CHEM 1410 or CHEM 1610 or CHEM 1810 or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
33,BME,3240,Biotransport,"A year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Testing in tissues/cells & manipulation of molecular constituents to determine structural and functional characteristics for design of therapeutic or measurement systems. Methods incl biochemical, physiological, cell biology, mechanical, electrical and computer, systems, chemical, imaging, and other approaches. Prerequisite: 3rd and 4th Year standing in Biomedical Engineering major window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
34,BME,4290,Stem Cell Engineering,"Second half of a year-long design project required for BME majors. Students select, formulate, & solve a design problem related to a device or a system. Projects use conceptual design, skills obtained in the integrated lab & substantial literature and patent reviews. Projects are sponsored by faculty, physicians and/or companies. Students may work on their own with outside team members when appropriate or with other students in integrative teams. Prerequisite: 4th year standing in the Biomedical Engineering major or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
35,BME,4390,Bioreaction Kinetics: Biomedical & Pharmacological Perspectives,"We will learn to bridge the gap between the fields of bioengineering and the science of how drugs interact with biological systems, i.e., Pharmacology, including the principles of biochemical reaction kinetics and engineering; how such principles can help us describe, model, predict and modulate the outcome of biochemical reactions in cells and biological reactors, and apply these principles to the understanding of pharmacological phenomena. Prerequisites: BME 2104 AND APMA 2130 window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
36,BME,4550,Special Topics in Biomedical Engineering,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. Recent topics include Medical Imaging Systems Theory, BME Advanced Design, BME Electronics Lab, and Systems Biology Modeling and Experimentation. Prerequisite: third- or fourth-year standing or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
37,BME,4806,Biomedical Applications of Genetic Engineering,"Provides a grounding in molecular biology and a working knowledge of recombinant DNA technology, thus establishing a basis for the evaluation and application of genetic engineering in whole animal systems. Beginning with the basic principles of genetics, this course examines the use of molecular methods to study gene expression, deliver viral and non-viral vectors, and its critical role in health. Prerequisite: BME 2101. Co-requisites: BME 2104. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
38,BME,6001,Cell and Molecular Physiology for Engineers,"Students learn foundational concepts about cellular behaviors and the molecular mechanisms that drive them by communicating findings that are published in peer-reviewed scientific and engineering papers. Prereqs: coursework in Biochemistry, Cell Biology, Human Physiology/Pathology/Anatomy window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
39,BME,7806,Biomedical Applications of Genetic Engineering,"Provides biomedical engineers with a grounding in molecular biology and a working knowledge of recombinant DNA technology, thus establishing a basis for the evaluation and application of genetic engineering in whole animal systems. Beginning with the basic principles of genetics, this course examines the use of molecular methods to study gene expression and its critical role in health and disease. Topics include DNA replication, transcription, translation, recombinant DNA methodology, methods for analyzing gene expression (including microarray and genechip analysis), methods for creating genetically-engineered mice, and methods for accomplishing gene therapy by direct in vivo gene transfer. Prerequisite: BME 6103, undergraduate-level cell and/or molecular biology course. (e.g., BME 2104) or instructor permission. Suggested preparation: biochemistry, cell biology, genetics, and physiology.. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
40,BME,8900,Graduate Teaching Instruction,"For master's students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
41,BME,8995,Supervised Project Research (GRAD STUDENTS ONLY),"For master's students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
42,BME,8999,Master's Research,"Master's Research window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
43,BME,3080,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),"A year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Testing in tissues/cells & manipulation of molecular constituents to determine structural and functional characteristics for design of therapeutic or measurement systems. Methods incl biochemical, physiological, cell biology, mechanical, electrical and computer, systems, chemical, imaging, and other approaches. Prerequisite: 3rd and 4th Year standing in Biomedical Engineering major window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
44,BME,2315,Computational Biomedical Engineering,"Introduces principles of continuum mechanics of biological tissues & systems. 1) Review results used in biomechanics field, 2) properties of living tissue; 3) mechanical basis & effects of pathology & trauma: 4) intro to mechanotransduction, circulatory transport, growth & remodeling & tissue-engineered materials; 5) low Reynolds number flows in vivo & microsystems. Prerequisites: APMA 2120 or MATH 2310 or MATH 2315 and BME Major or Minor window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
45,BME,3090,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),"Project-driven course focusing on biomedical product design with emphasis on marketability, innovation, entrepreneurship and business. Topics include design fundamentals, problem/needs identification, delineation of realistic constraints and product specifications, intellectual property, market analysis, entrepreneurship, specific advanced design, business plan development, venture funding, and medical product testing methods. Pre-requisite: BME 2000 or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
46,BME,4380,Microbial Biomedical Engineering,"""We will explore engineering methods to use """"microbes as tools"""" for human wellbeing, to understand and combat """"microbes as enemies"""" in infectious disease, and to characterize and manipulate """"microbes as partners"""" in human health and wellbeing. We will learn how facets of BME are used to test hypotheses of human/microbe relationships and to design strategies to understand and treat disease and improve human wellbeing. Prerequisites: BME 2000 AND (BME 2101 OR BME 2102) AND BME 2104 AND BME 2315"" window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
47,BME,4417,Tissue Engineering,"Introduces the fundamental principles of tissue engineering. Topics: tissue organization and dynamics, cell and tissue characterization, cell-matrix interactions, transport processes in engineered tissues, biomaterials and biological interfaces, stem cells and interacting cell fate processes and tissue engineering methods. Examples of approaches for regeneration of cartilage, bone, ligament, tendons, skin and liver are presented. Prerequisites: APMA 2130 or MATH 3250 or APMA 2501 - Differential Equations & Linear Algebra, and BME 2101, and BME 2104, or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
48,BME,6030,Design and Innovation in Medicine,"A project-based grounding in biomedical product design, with emphasis on clinical immersion and topics including design fundamentals, problem/needs identification, delineation of realistic constraints and product specifications, intellectual property, market analysis, entrepreneurship, specific advanced design topics, business plan development, venture funding, and medical product testing methods. Prerequisite: Instructor Permission window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
49,BME,6060,Biomedical Innovation,"A professional development course for biomedical engineering graduate students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
50,BME,6705,Recent Advances in Public Health Genomics,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
51,BME,6550,Special Topics in Biomedical Engineering,"Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
52,BME,2101,Physiology I for Engineers,"You will learn how excitable tissue, nerves and muscle, and the cardiovascular and respiratory systems function. You will develop an understanding of mechanisms, with an introduction to structure, an emphasis on quantitative analysis, and integration of hormonal and neural regulation and control. Prerequisites: (PHYS 1425 or PHYS 1420 or PHYS 1710) AND (APMA 1110 or MATH 1320) AND (CHEM 1410 or CHEM 1610 or CHEM 1810) AND BME Major or Minor window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
53,BME,3310,Biomedical Systems Analysis and Design,"Presents analytical tools used to model signals & linear systems. BME examples include multicompartment modeling of drug delivery, modeling of dynamic biomechanical systems & electrical circuit models of excitable cells. Topics: signals & systems, convolution, continuous time Fourier transforms, electrical circuits & applications of linear system theory. Prerequisite: PHYS 2415 & APMA 2130, & CS 1110 or equivalent window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
54,BME,4995,Biomedical Engineering Advanced Projects,"In-depth study of a biomedical engineering area by an individual student in close collaboration with a departmental faculty member. Requires advanced analysis of a specialized topic in biomedical engineering that is not covered by current offerings. Requires faculty contact time and assignments comparable to regular course offerings. Prerequisite: instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
55,BME,6003,Biostatistical Analysis and Experimental Design,"Students learn foundational principals of advanced research, including hypothesis formulation, experimental design, and statistical methods to assess experimental data as it relates to hypothesis testing. Prerequisites: Previous exposure to statistics and programming in a language such as Python, MATLAB, or R. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
56,BME,6004,Signals and Systems Analysis for Biomedical Applications,"Students learn how to process imperfect biomedical measurements and extract information. Students learn fundamental principles of signal and image processing and machine learning. Prerequisites: Ability to program in MATLAB or Python. Knowledge of calculus, vectors and matrices window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
57,BME,6056,"Going Pro, Professional Development in Biomedical Engineering","A professional development course for biomedical engineering graduate students. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
58,BME,8782,Magnetic Resonance Imaging,"The course covers the physical principles of nuclear magnetic resonance, the biological and medical problems addressed using MRI, the analysis and design of MRI pulse sequences from a signal processing perspective, and MR image reconstruction techniques. It will introduce various advanced topics, including non-Cartesian scanning and compressed sensing. The course will include a laboratory session working with an MRI scanner. Prerequisites: BME 6311 BME Measurement Principles, or knowledge of 2D Fourier transforms and linear systems theory. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
59,BME,9999,Dissertation,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
60,BME,3030,Design and Innovation in Medicine,"Introduces techniques for constructing predictive or analytical engineering models for biological processes. Teaches modeling approaches using example problems in transport, mechanics, bioelectricity, molecular dynamics, tissue assembly & imaging. Problem sets include 1) linear systems and filtering 2) compartmental modeling 3) numerical techniques 4) finite element / finite difference models and 5) computational automata models. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113. Co-requisites: APMA 2120 or MATH 2310 or MATH 2315 or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
61,BME,4370,Quantitative Biological Reasoning,"This course will provide students with a quantitative framework for identifying and addressing important biological questions at the molecular, cell, and tissue levels. The course will focus on the interplay between methods and logic, with an emphasis on the themes that emerge repeatedly in quantitative experiments. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
62,BME,4890,Nanomedicine,"An overview of modern medical imaging modalities with regard to the physical basis of image acquisition and methods of image reconstruction. Topics cover the basic engineering and physical principles underlying the major medical imaging modalities: x-ray (plain film, mammography, CT), nuclear medicine (PET) and (SPECT), ultrasound, and MRI. Prerequisite: BME 2315, BME 3310, or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
63,BME,4993,Independent Study,"In-depth study of a biomedical engineering area by an individual student in close collaboration with a departmental faculty member. Requires advanced analysis of a specialized topic in biomedical engineering that is not covered by current offerings. Requires faculty contact time and assignments comparable to regular course offerings. Prerequisite: instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
64,BME,6311,Research Fundamentals,"In a team, develop, prototype, and conduct verification and validation tests on engineering solutions to clinical challenges, demonstrating concept viability. Formal Design Control, Life Cycle, Risk Analysis, Project Management and Intellectual Property Strategies are introduced. Using Product Development Protocols, prepare a regulatory and implementation pathway analysis for commercialization into clinical practice. Prerequisite: BME 6550 Special Topics: Clinical Technology Continuum of Care window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
65,BME,8995,M.E. Supervised Project Research (M.E. STUDENTS ONLY),"FOR GRAD STUDENTS ONLY. A research project in biomedical engineering conducted in consultation with a faculty advisor. Includes the design, execution, and analysis of experimental laboratory work and computational or theoretical computer analysis of a problem. Fulfills the project requirement for the Biomedical Engineering Masters of Engineering degree. Prereqs: Instructor Permission Required. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
66,BME,2000,Biomedical Engineering Design and Discovery,"Student led special topic courses which vary by semester window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
67,BME,4350,Biomedical Engineering Data Science,"Introduces genomics and bioinformatics theory and tools to analyze large scale biological data. Specific topics covered are Introduction to Linux and R statistical programming language, computations on the high-performance computational cluster, analysis of sequencing data with applications in gene expression and protein/DNA interactions, differential expression analysis, pathway and co-expression network analysis. Prereq: (APMA 3110 or APMA 3100 or MATH 3100) and (CS 1110 or CS 1111 or CS 1112 with grade of C- or better or successfully completed CS 1110 place-out test) and BME major or minor window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
68,BME,6101,Physiology I for Engineers,"A year-long research project in biomedical engineering conducted in consultation with a department faculty advisor; usually related to ongoing faculty research. Includes the design, execution, and analysis of experimental laboratory work and computational or theoretical computer analysis of a problem. Requires a comprehensive report of the results. Prerequisite: third- or fourth-year standing, and instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
69,BME,4064,Biomedical Engineering Capstone Design II,"Second half of a year-long design project required for BME majors. Students select, formulate, & solve a design problem related to a device or a system. Projects use conceptual design, skills obtained in the integrated lab & substantial literature and patent reviews. Projects are sponsored by faculty, physicians and/or companies. Students may work on their own with outside team members when appropriate or with other students in integrative teams. Prerequisite: 4th year standing in the Biomedical Engineering major or instructor permission. window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
70,BME,6315,Systems Bioengineering,"Introduces techniques for constructing mathematical and computational models of biological processes at many levels of organizational scale from genome to whole-tissue. Topics include choice of techniques, quantitative characterization of biological properties, assumptions and model simplification, parameter estimation and sensitivity analysis, model verification and validation and integration of computational modeling w/experimental approaches. Prerequisites: BME 6101, and BME 2104 or BME 7806 (or equivalent). window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
71,BME,3080,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory I,"A year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Testing in tissues/cells & manipulation of molecular constituents to determine structural and functional characteristics for design of therapeutic or measurement systems. Methods incl biochemical, physiological, cell biology, mechanical, electrical and computer, systems, chemical, imaging, and other approaches. Prerequisite: 3rd and 4th Year standing in Biomedical Engineering major window.dataLayer = window.dataLayer || []; function gtag(){dataLayer.push(arguments);} gtag('js', new Date()); gtag('config', 'UA-8664330-19');"
