Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
12,Sepideh Dolatshahi,"Sepideh Dolatshahi | Research in the Dolatshahi lab combines multiplex experimental measurements with computational methods (including statistical machine learning, network inference, information theory, signal processing and kinetic-dynamic modeling) to solve problems in the context of cancer, infectious disease and maternal-neonatal immunology.","Chambers-Thermo Fisher Scientific Memorial Award (2023) American Association of Immunologists, ,"
13,Frederick Epstein,Frederick H. Epstein | Fred Epstein is recognized for his contributions to the field of cardiac magnetic resonance imaging. He has been a world leader in advancing MRI myocardial strain imaging by developing and applying the cine DENSE (displacement encoding using stimulated echoes) MRI method. He has also made important contributions to accelerated MRI methods and to methods and applications of preclinical MRI in mouse models of heart disease.,"Distinguished Investigator Award from the Academy for Radiology & Biomedical Imaging Research, Fellow and Established Investigator Award of the American Heart Association (AHA), Fellow of the International Society for Magnetic Resonance in Medicine (ISMRM), Fellow of the American Institute for Medical and Biological Engineering (AIMBE),"
14,Mohammad Fallahi-Sichani,"Mohammad Fallahi-Sichani | Mohammad Fallahi-Sichani is an Associate Professor of Biomedical Engineering and the Basic Science Lead of the Melanoma Translational Research Team at the UVA Comprehensive Cancer Center. His academic training includes a B.Sc. in Biotechnology from the University of Tehran and M.Sc. and Ph.D. degrees in Chemical Engineering from the University of Michigan, Ann Arbor. He completed his postdoctoral training as a Life Sciences Research Foundation (LSRF) fellow in Systems Biology at Harvard Medical School, where he also earned a Pathway to Independence Award from the National Cancer Institute (NCI). Mohammad joined the faculty at the University of Virginia in 2020.","UVA Shannon Center Mid-Career Fellow 2024-27, BMES Cell and Molecular Bioengineering (CMBE) Rising Star Award 2023, UVA Research Collaboration Award (VPR Research Achievement Awards) 2022, V Foundation for Cancer Research V Scholar Award 2017, NIH/NCI Pathway to Independence Award 2015, Life Sciences Research Foundation (LSRF) Postdoctoral Fellow 2013-15,"
15,Brent French,"Brent A. French | Brent A. French combines advanced methods of targeted drug and gene delivery with biomedical imaging in vivo to explore novel targets and treatment strategies in cardiovascular disease.  Research interests of the Molecular Bioengineering Lab focus on developing new, more effective strategies for treating and preventing human disease. In parallel, we develop novel diagnostic imaging methods to better understand the progression/regression of disease and the impact of novel therapies on specific disease targets. A highly-collaborative, interdisciplinary approach is used to integrate recent technical advances in multiple fields with our highly translational research. In particular, cutting-edge imaging techniques such as MRI, PET and ultrasound are used to expedite research by providing accurate measures of novel therapies against heart attack and heart failure.",
16,Donald Griffin,"Donald Richieri Griffin | Donald Griffin improves clinical translation of acellular and cellular therapies through enhanced hydrogel-tissue integration, specifically focusing on the development of passive and active instructional microenvironments using microscale building blocks. He is an Associate Professor in the Department of Biomedical Engineering at the University of Virginia. After his training in Biomedical Engineering at the University of California, Los Angeles, Don joined the faculty at the University of Virginia in 2017.",
17,William Guilford,"William H. Guilford | My research goal has long been to understand the molecular mechanisms by which cells move. My lab measures the mechanics of these processes at the level of individual molecules using a laser trap - a tool that can capture small translucent particles and hold them in three-dimensional space (see image). The laser trap may also be used to measure the elasticity, distance moved, or force generated by single protein molecules. We have used the laser trap to study the movement of the intracellular pathogen Toxoplasma gondii. My lab was the first to measure the biomechanics and coordination of molecular motors inside a living cell. Past achievements include revealing that the molecular motor myosin is directly regulated by the gaseous signaling molecule nitric oxide, demonstrating that myosin forms ""catch bonds"" with actin - getting stronger the harder you pull - and showing the fundamental limits and biases of single particle tracking algorithms.","Theo Pilkington Outstanding Educator Award American Society for Engineering Education, Biomedical Engineering Division, Distinguished Professor Award UVA Alumni Foundation, Harold S. Morton Award for Teaching UVA School of Engineering,"
18,Brian Helmke,"Brian P. Helmke | Brian Helmke researches the relationship between cell mechanics and cell function using new tools in materials science and molecular biology, with a focus on cardiovascular disease.","UVA Alumni Association Distinguished Professor Award 2024, College of Fellows, American Institute for Medical and Biological Engineering (AIMBE) 2024, Fellow, Biomedical Engineering Society 2023, Harold S. Morton Jr. Undergraduate Teaching Prize 2020,"
19,Christopher Highley,"Christopher B. Highley | Christopher Highley develops materials and fabrication technologies to enable the design and construction of complex cellular and material systems, with the goal of addressing fundamental and translational problems in biomedicine. Through the Highley Lab's work in designing, applying, and continuing to advance technology in the realm of biofabrication and tissue engineering we hope to address a range biological, medical, and societal needs from understanding the underpinnings to disease to enabling engineers to build vascularized tissues. We aim to design in vitro models of biological systems and to create implantable therapeutics and biomaterial devices. A central focus of the lab's work is the use and development of biomanufacturing technology, including materials and hardware, to build constructs based on engineering principles.","International Society for Biofabrication, Young Investigator Award 2017,"
20,Kevin Janes,Kevin Janes | Kevin Janes is the John Marshall Money Professor of Biomedical Engineering and a Professor of Biochemistry & Molecular Genetics at the University of Virginia.  He received his B.S. and B.A. degrees in Biomedical Engineering and Spanish at Johns Hopkins University.  He was a Fulbright Scholar at La Universidad de Santiago de Compostela in Spain before attaining his Ph.D. in Bioengineering at M.I.T.  Dr. Janes completed a postdoctoral fellowship at Harvard Medical School in the Department of Cell Biology and began his faculty position at the University of Virginia in 2008.,"Fellows, American Institute for Medical and Biological Engineering 2020,"
21,Kimberly Kelly,"Kimberly A. Kelly | Kimberly Kelly uses computational methods and bioinformatics to develop more effective and less toxic cancer drugs through the identification of disease-relevant druggable targets, with a special emphasis on translation to the clinic and commercialization. Dr. Kelly received her Bachelor’s degree in Chemistry from Hamilton College in upstate NY, and her PhD from the University of Utah under the guidance of Dr. David Jones, PhD. Her thesis was using genomics and proteomics-based approaches to develop diagnostic reagents for colon cancer. After obtaining her PhD, Dr. Kelly took a postdoctoral fellowship position at the Center for Molecular Imaging Research at Massachusetts General Hospital (MGH), directed by Ralph Weissleder, under the guidance of Jennifer Allport Anderson. Under Dr. Allport Anderson’s guidance, Kim developed a VCAM-1 targeted imaging agent and was able to monitor VCAM-1 expression in mouse models of atherosclerosis. Further, she described a new interaction between VCAM-1 and SPARC that facilitates efficient leukocyte trafficking. In 2004, she was promoted to instructor of Radiology, and in 2008 to Assistant Professor of Radiology at MGH. In September of 2008, Dr. Kelly joined the Biomedical Engineering faculty at the University of Virginia as an Assistant Professor and has been promoted to Professor with tenure. Dr. Kelly is a member of SNM, the American Pancreatic Association, the AACR and AIMBE. She was named a William Guy Forbeck Scholar in 2005 and awarded an AACR-Pancreatic Cancer Action Network Career Development award in 2007.","American Institute for Medical and Biological Engineering College of Fellows 2016,"
22,Kelsey Kubelick,"Kelsey Kubelick | Kelsey Kubelick leads an interdisciplinary, applications-driven, biomedical imaging research program. Her lab team leverages light, sound, nanoconstruct design, and cellular engineering strategies to develop advanced theranostic imaging techniques, with a particular interest in ultrasound and photoacoustic (PA) technologies.","UVA Emerging Leaders in Biomedical Engineering 2022, Rising Stars in Engineering in Health 2021, BME Outstanding Teaching/Mentorship award, Georgia Tech 2020, Emory University Zebrowitz Award for research excellence in neuroscience 2019, Research featured in the special session, “Latest Advances in Photoacoustic Technology and Applications,” IEEE International Ultrasonics Symposium 2019, Winner of the “Seeing More Matters” competition in ultrasound and photoacoustic imaging, FujiFilm VisualSonics 2018,"
23,Matthew Lazzara,"Matthew J. Lazzara | Work in the Lazzara Lab employs a combination of experimental and computational methods to study problems in cell signaling, the complex biochemical process cells use to make decisions. Current projects focus on the rational (model-driven) identification of combination therapies for brain and pancreas cancers and on fundamental studies of the spatiotemporal regulation of cell signaling by phosphatases and receptor trafficking.",","
24,Craig Meyer,"Craig H. Meyer | Craig Meyer develops magnetic resonance imaging (MRI) techniques for rapid acquisition and processing of image data in the setting of cardiovascular disease, neural diseases, and pediatrics, using tools in physics, signal processing, image reconstruction, and machine learning.","Dean’s Award for Excellence in Team Science Research, School of Medicine, University of Virginia 2014, Fellow, National Academy of Inventors (NAI) 2021, Fellow, American Institute of Medical and Biological Engineering (AIMBE) 2015, Fellow, International Society for Magnetic Resonance in Medicine (ISMRM) 2013, First author of two of the “30 Magnetic Resonance in Medicine Papers that Helped Shape Our Field,” selected from 9000 papers published during the first 30 years of the journal 2014,"
25,Kristen Naegle,"Kristen Naegle | Kristen Naegle uses data- and computational-driven approaches to predict, and experimental approaches to test, the regulation and function of tyrosine phosphorylation in complex networks. Tyrosine phosphorylation is a protein modification that can occur during or after translation of a protein.The phosphate addition to a tyrosine residue, regulated by tyrosine kinases and phosphatases, can result in changes in protein function, regulation and localization. It is key to important cell signaling processes, which are the processes that convert extracellular cues, like growth factors and insulin, into biochemical networks that result in a change to the cell.  Tyrosine phosphorylation is specifically utilized in the early events of receptor tyrosine kinase (RTK) networks, which are fundamental to many processes in the development and homeostasis of complex organisms.  Improvements in measurement technologies have enabled the ability to detect and monitor tyrosine phosphorylation and now we know that tyrosine phosphorylation is extensive — occurring on thousands of tyrosines in the human proteome.","Research Communications Fellow, UVA 2023-2024, MAVEN Institute Senior Scientist 2023, UVA Research Achievement Award: Research Collaboration 2022, “Best of 2021” PLoS Computational Biology 2021, Outstanding Mentor and Ally Award, UVA Graduate BMES organization 2020, ,"
26,Jason Papin,"Jason Papin | Jason Papin develops computational models of cellular networks and performs high-throughput experiments to characterize biological systems relevant to human disease. After his training in Bioengineering at the University of California, San Diego, Jason Papin joined the faculty at the University of Virginia in 2005. He is now a Professor in the Department of Biomedical Engineering.","Biomedical Engineering Society Fellow (2018), American Institute of Medical and Biological Engineering College of Fellows (2016), National Science Foundation CAREER Award (2007-2012), University of Virginia Research Collaboration Award (2022), Distinguished Career Development Award (2014), University of Virginia School of Medicine Dean’s Award for Research Excellence in Team Science (2020), Robert J. Kadner Award for Outstanding Graduate Teaching (2017),, UVA Biomedical Engineering Department Outstanding Postdoctoral Student Advisor (2020), Award for Excellence in Biomedical Engineering Undergraduate Education (2012, 2007), Most Helpful Mentor Award (2012),,"
27,Shayn Peirce-Cottler,"Shayn Peirce-Cottler | Shayn Peirce-Cottler develops computational models and combines them with wet lab experiments and machine learning to study how tissues heal after injury and to develop new therapies for inducing tissue regeneration. Her lab is particularly focused on engineering the body's smallest blood vessels -- microvessels, or capillaries -- that are necessary for delivering oxygen and nutrients to every cell in the body. Dr. Peirce-Cottler teaches courses in cell and molecular physiology and computational systems bioengineering to undergraduate and graduate students. She has published over 125 peer reviewed papers and book chapters, and she is an inventor on three U.S. Patents. She is a fellow in both the American Institute for Medical and Biological Engineering College of Fellows (AIMBE) and the Biomedical Engineering Society (BMES). She is also Past-President of The Microcirculatory Society. Dr. Peirce-Cottler is a UVA School of Medicine Pinn Scholar, and in 2020 she was awarded the UVA School of Medicine’s Robert H. Kader Award for Excellence in Graduate Teaching and Mentoring. Dr. Peirce-Cottler is passionate about mentoring students and faculty, promoting diversity in STEM, and participating in K-12 outreach to increase students’ interest and self-confidence in pursuing STEM careers.","Eugene M. Landis Award, The Microcirculatory Society 2024, Harrison Distinguished Teaching Professor 2021, Robert J. Kadner Award for Outstanding Graduate Teaching 2020, Fellow of the Biomedical Engineering Society (BMES) 2020, Fellow of the American Institute for Medical and Biological Engineering (AIMBE) 2016, MIT Technology Review's Top 100 Young Investigators 2004, Rita Shaffer Young Investigator Award 2004,"
28,Noah Perry,"Noah Perry | Noah Perry, Ph.D., focuses on leading clinically driven engineering projects that prepare graduate students to address complex healthcare challenges through innovative design and interdisciplinary collaboration. His work centers on equipping students with the technical skills, professional development, and real-world experience needed to become impactful leaders in biomedical engineering. He is an Assistant Professor and Director of the Master of Engineering (M.E.) program in the Department of Biomedical Engineering. He earned his B.S. in Biomedical Engineering from the Georgia Institute of Technology in 2019 and his Ph.D. in Biomedical Engineering from the University of Virginia in 2025, where his doctoral research focused on the genetic regulation of vascular smooth muscle cell phenotypic switching in atherosclerosis and coronary artery disease.",
29,Richard Price,"Richard J. Price | Dr. Price's research program centers on the development and implementation of image-guided drug and gene delivery systems for treating cancer and neurodegenerative diseases. Several lines of investigation in the lab are derived from seminal studies demonstrating that microbubble activation with ultrasound can enable the delivery of therapeutic drug- and gene-bearing nanoparticles across endothelial barriers under MR image-guidance. Other projects in the lab investigate how minimally-invasive focused ultrasound energy deposition into solid tumors may be optimally combined with immunotherapy to treat metastatic disease. Research in this space supports ongoing UVA clinical trials for metastatic breast cancer and other solid malignancies. In his role as Research Director of the UVA Focused Ultrasound Center, he leads an institution-wide effort to identify, investigate, and translate new focused ultrasound applications.","Fellow of the Controlled Release Society 2021, Fellow of the Controlled Release Society 2017, Jorge Heller Award for Most Outstanding Paper in Journal of Controlled Release 2015, Fellow of the American Institue of Medical and Biological Engineering 2015,"
30,Gustavo Rohde,"Gustavo Kunde Rohde | Dr. Rohde develops computational predictive models using machine learning and signal and image processing with applications in pathology, radiology, systems biology, and mobile sensing. He earned B.S. degrees in physics and mathematics in 1999, and the M.S. degree in Electrical Engineering in 2001 from Vanderbilt University. He received a doctorate in applied mathematics and scientific computation in 2005 from the University of Maryland. He is Professor of Biomedical Engineering and Electrical and Computer Engineering at the University of Virginia.",
31,Jeff Saucerman,"Jeff Saucerman | Our lab combines computational modeling and high-throughput experiments to discover molecular networks and drugs that control cardiac remodeling. Our experimental approaches include high-throughput microscopy and -omic profiling of various types of primary and induced pluripotent stem cell (iPSC)-derived cardiac cells (e.g. cardiomyocytes, fibroblasts, macrophages). Our computational approaches include large-scale modeling of signaling/gene regulatory networks, machine learning on -omic data, and mining of electronic health records. Specific application areas include:","Fellow of the American Institute for Medical and Biological Engineering 2023, UVA BME Graduate Mentoring Award 2023, Vivian Pinn Scholars Award 2018, Fellow of the American Heart Association 2014, NSF CAREER Award 2013, Dean's Excellence in Teaching Award 2012,"
32,Evan Scott,"Evan Scott | Evan Scott, renowned for his groundbreaking work in nanotechnology to address cancer, glaucoma, heart disease, and other conditions, leads the Institute for Nanoscale Scientific and Technological Advanced Research (nanoSTAR) as part of the launch of the Paul and Diane Manning Institute of Biotechnology.","American Institute for Medical and Biological Engineering (AIMBE) College of Fellows 2022, Halo 40 under 40 Chicago Scientist 2019, Biomaterials Science Emerging Investigator 2019, National Academy of Engineering Frontiers of Engineering Speaker 2018, American Society for Engineering Education PRISM 20 under 40 2018, Nano Research Young Innovator in Nanobiotechnology 2018, BMES Young Innovator of Cellular and Molecular Bioengineering 2017, National Science Foundation CAREER Award 2015, NIH Director’s New Innovator Award 2015,"
33,Natasha Sheybani,"Natasha Diba Sheybani | The Sheybani Lab’s mission is centered on engineering innovative tools and paradigms that render cancer management less invasive, less toxic, more effective, and more personalized for cancer patients. Central to our efforts is a disruptive emerging platform technology called focused ultrasound (FUS) – which enables non-invasive, non-ionizing, and targeted deposition of acoustic energy into tumor tissues with high spatial precision. We are advancing applications of FUS for non-surgical tumor debulking, immuno-modulation and immunotherapy (e.g. therapeutic antibody, engineered T cell) delivery in highly complex and aggressive cancer settings, including metastatic breast cancer and brain tumors (high-grade gliomas, brain metastasis, pediatric brain tumors). Our lab also utilizes systems biology and imaging informatics approaches to integrate FUS with serial surveillance strategies like liquid biopsy (e.g. blood draws) and multimodality imaging (e.g. MRI, immuno-PET) to improve the precision, adaptability, and predictability of combinatorial cancer interventions. Our highly translational and multidisciplinary research group interfaces closely with multiple ongoing clinical trials at UVA that are evaluating FUS in aggressive cancer settings. As Research Director of UVA’s FUS Cancer Immunotherapy Center, Dr. Sheybani leads additional efforts beyond the lab to integrate and translate FUS immuno-oncology applications across UVA.","International Society for Therapeutic Ultrasound “Rising Scientist in Therapeutic Ultrasound” 2023, ORAU Ralph E. Powe Junior Faculty Enhancement Award 2023, Research Communication Fellow, Office of UVA VPR 2023, Forbes ""30 Under 30"" List (Science) 2021, National Institutes of Health Director’s Early Independence Award 2020, STAT Wunderkind 2020, National Cancer Institute Predoctoral-to-Postdoctoral Fellow Transition Award (F99/K00) 2018, National Science Foundation Graduate Research Fellowship 2016,"
