paperID,title,url,abstract,publisher,source,yearPublished
11,Evaluation of ultra-high temperature ceramics foraeropropulsion use,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&citation_for_view=RiXqXbQAAAAJ:u5HHmVD_uO8C,"Among the ultra-high temperature ceramics (UHTC) are a group of materials consisting of zirconium diboride or hafnium diboride plus silicon carbide, and in some instances, carbon. These materials offer a good combination of properties that make them candidates for airframe leading edges on sharp-bodied reentry vehicles. These UHTC perform well in the environment for such applications, i.e. air at low pressure. The purpose of this study was to examine three of these materials under conditions more representative of a propulsion environment, i.e. higher oxygen partial pressure and total pressure. Results of strength and fracture toughness measurements, furnace oxidation, and high velocity thermal shock exposures are presented for ZrB2 plus 20 vol.% SiC, ZrB2 plus 14 vol.% SiC plus 30 vol.% C, and SCS-9a SiC fiber reinforced ZrB2 plus 20 vol.% SiC. The poor oxidation resistance of UHTCs is the …",Elsevier,,2002
12,UHTCs: ultra-high temperature ceramic materials for extreme environment applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&citation_for_view=RiXqXbQAAAAJ:0EnyYjriUFMC,"The Electrochemical Society Interface• Winter 2007 31 seconds, while the outer wall is still at room temperature. This∆ T generates a compressive stress on the inside (hot) surface, while the outside (cool) surface carries a tensile stress. Depending on the thickness of the nozzle, the thermal conductivity and strength will determine the success or failure of the part. A finite element model of thick and thin-walled cross-section (Fig. 2) shows the highest tensile loads in red. 8 With higher thermal conductivity, the borides can more readily transmit the heat through the part and equilibrate the temperature within the crosssection, thereby reducing the thermal stress.",IOP Publishing,,2007
13,Paralinear oxidation of CVD SiC in water vapor,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&citation_for_view=RiXqXbQAAAAJ:u-x6o8ySG0sC,The oxidation kinetics of CVDSiC were monitored by thermogravimetric analysis (TGA) in a 50% H2O/50% O2 gas mixture flowing at 1.4 cm/s for temperatures between 1200” and 1400°C. Paralinear weight change kinetics were observed as the water vapor oxidized the SiC and simultaneously volatilized the silica scale. The long‐term degradation rate of SiC is determined by the volatility of the silica scale. Rapid SiC surface recession rates were estimated from these data for actual aircraft engine combustor conditions.,American Ceramics Society,,1997
14,Variation of the oxidation rate of silicon carbide with water‐vapor pressure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&citation_for_view=RiXqXbQAAAAJ:d1gkVwhDpl0C,"Chemically vapor deposited silicon carbide (CVD SiC) was oxidized at temperatures of 1000°‐1400°C in H2O/O2 gas mixtures with compositions of 10‐90 vol% water vapor at a total pressure of 1 atm. Additional experiments were conducted in H2O/argon mixtures at a temperature of 1100°C. Experiments were designed to minimize impurity and volatility effects, so that only intrinsic water‐vapor effects were observed. The oxidation kinetics increased as the water‐vapor content increased. The parabolic oxidation rates in the range of 10‐90 vol% water vapor (the balance being oxygen) were approximately one order of magnitude higher than the rates that were observed in dry oxygen for temperatures of 1200°‐1400°C. The power‐law dependence of the parabolic oxidation rate on the partial pressure of water vapor at all temperatures of the study indicated that the molecular species was not the sole rate‐limiting …",American Ceramics Society,,1999
15,"SiC Recession Caused by SiO2 Scale Volatility under Combustion Conditions: II, Thermodynamics and Gaseous‐Diffusion Model",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&citation_for_view=RiXqXbQAAAAJ:9yKSN-GCB0IC,"In combustion environments, volatilization of SiO2 to Si‐O‐H(g) species is a critical issue. Available thermochemical data for Si‐O‐H(g) species were used in the present study to calculate boundary‐layer‐controlled fluxes from SiO2. Calculated fluxes were compared to volatilization rates of SiO2 scales grown on SiC, which were measured in a high‐pressure burner rig, as reported in Part I of this paper. Calculated volatilization rates also were compared to those measured in synthetic combustion gas furnace tests. Probable vapor species were identified in both fuel‐lean and fuel‐rich combustion environments, based on the observed pressure, temperature, and velocity dependencies, as well as on the magnitude of the volatility rate. Water vapor was responsible for the degradation of SiO2 in the fuel‐lean environment. SiO2 volatility in fuel‐lean combustion environments was attributed primarily to the formation of Si …",American Ceramics Society,,1999
16,Experimental investigation of fifth oxide effects on calcium–magnesium–aluminosilicate glass properties,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RiXqXbQAAAAJ:MhiOAD_qIWkC,"Molten calcium–magnesium–aluminosilicate (CMAS) containing debris is a leading threat to hot‐section components in air‐ingesting turbine engines. This study investigated common natural‐forming and coating‐derived oxide additions to CMXAS glasses—where X denotes a fifth oxide constituent. Glass property relationships are elucidated by cation size effects and allow inferences to glass structure to be made. Iron oxide content, Group IV metal, and rare‐earth metal cations—including one dual cation addition (Y3+ and Yb3+)—effects on CMAS viscosity, coefficient of thermal expansion (CTE), softening temperature, and glass transition temperature were explored. The baseline material, nominally a 33 CaO–9 MgO–13 AlO1.5–45 SiO2 (single cation oxide mol%) CMAS, was synthesized from constituent oxide powders. Natural‐forming additions consistently operated as network modifiers. However, coating …",,,2025
17,Mechanisms of rare‐earth monosilicate reaction with calcium–magnesium aluminosilicate,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RiXqXbQAAAAJ:MpfHP-DdYjUC,"Reactions of calcium–magnesium aluminosilicate (CMAS) with single‐cation rare‐earth monosilicates (REMS) at 1300°C for times up to 24 h were investigated to determine reaction mechanisms. Eight single‐cation REMSs were investigated: La2SiO5, Nd2SiO5, Gd2SiO5, Dy2SiO5, Y2SiO5, Er2SiO5, Yb2SiO5, and Lu2SiO5. REMS with the smallest and largest cations, from either end of the lanthanide series, produced denser layers of apatite and underwent less recession, whereas the middle of the rare‐earths experienced much more recession and produced thick, low density apatite product layers. These reaction morphologies are attributed to competition between rates of REMS dissolution and apatite precipitation, which govern the outcome of REMS + CMAS reactions. The relative differences between these rates produce the range of REMS degradation observed when investigated as a function of rare‐earth …",,,2025
18,Oxygen tracer diffusion in yttrium silicates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RiXqXbQAAAAJ:cK4Rrx0J3m0C,"The diffusivity of oxygen in environmental barrier coating (EBC) materials must be sufficiently low to limit the oxidation of the underlying silicon bond coat and silicon carbide ceramic matrix composite (SiC CMC). Yttrium silicates have been proposed as candidate EBC materials however there are limited oxygen diffusivity data available. In this study, oxygen diffusion coefficients for polycrystalline Y2Si2O7 and Y2SiO5 were determined using the oxygen tracer diffusion technique. The 18O diffusion concentration profiles were measured after exposure at temperatures of 1000 – 1300°C using time-of-flight secondary ion mass spectrometry (ToF-SIMS). Oxygen tracer diffusion and surface exchange coefficients were obtained by fitting the semi-infinite solution of the diffusion equation to the concentration profiles. Oxygen diffusion and surface exchange coefficients in yttrium silicates ranged from 10−14 – 10−12 cm2/s …",Elsevier,,2025
19,Oxidation Behavior of Tantalum in High Temperature Molecular and Dissociated Oxygen,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RiXqXbQAAAAJ:IaI1MmNe2tcC,"Tantalum (Ta) was oxidized in a new resistive heating system equipped with a DC microplasma capable of heating samples to 2400°C via Joule heating in a molecular or dissociated oxygen environment. Oxidation was conducted at 1300°C, 1400°C, and 1500°C for 2.5 and 5 minutes in molecular or partially-dissociated 1% O2 – balance Ar. The presence of atomic oxygen is verified through emission spectroscopy and quantified via Kapton HN erosion studies. The degree of dissociation is estimated as ∼40%. In molecular oxygen, the thickness of the oxide grown on Ta decreased as temperature increased, suggesting the formation of a more protective scale. Gas-phase diffusion through cracks in the oxide is identified as the rate-limiting process. For oxidation in atomic oxygen at 1300°C and 1400°C, the highly cracked oxide provided no barrier to atomic oxygen ingress and the extent of oxidation increased ten …",Elsevier,,2025
20,Ab initio stability predictions for rare earth oxyphosphates and experimental confirmation of cerium (III) phases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RiXqXbQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=RiXqXbQAAAAJ:7BrZ7Jt4UNcC,"Rare earth oxyphosphates represent a large family of compounds with the general formula (RE2O3)x(REPO4), where RE refers to lanthanides and yttrium. At least four known stoichiometries have been established, each with distinct structures. These compounds have potential applications as refractory coatings, catalysts, and magnetic materials. We modeled the stability of RE3PO7 [RE3(PO4)O3] with respect to rare earth sesquioxides (RE2O3) and orthophosphates (REPO4) using DFT computations with the GGA-PBE and r2SCAN exchange-correlation functionals. Phase stability predictions were consistent between the two functionals, while r2SCAN calculations of formation enthalpies for REPO4 showed better agreement with experimental data. RE3PO7 phases for La–Dy were predicted to be stable at 0 K, with a space group change from Cm to C2/m starting with Sm. RE3PO7 phases for Y, Ho, and Er were …",National Academy of Sciences,,2025
21,Mental Health and Behavior of College Students During the Early Phases of the COVID-19 Pandemic: Longitudinal Smartphone and Ecological Momentary Assessment Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&citation_for_view=7OC4jEUAAAAJ:zYLM7Y9cAGgC,"Background The vast majority of people worldwide have been impacted by coronavirus disease (COVID-19). In addition to the millions of individuals who have been infected with the disease, billions of individuals have been asked or required by local and national governments to change their behavioral patterns. Previous research on epidemics or traumatic events suggests that this can lead to profound behavioral and mental health changes; however, researchers are rarely able to track these changes with frequent, near-real-time sampling or compare their findings to previous years of data for the same individuals. Objective By combining mobile phone sensing and self-reported mental health data among college students who have been participating in a longitudinal study for the past 2 years, we sought to answer two overarching questions. First, have the behaviors and mental health of the participants changed in response to the COVID-19 pandemic compared to previous time periods? Second, are these behavior and mental health changes associated with the relative news coverage of COVID-19 in the US media? Methods Behaviors such as the number of locations visited, distance traveled, duration of phone usage, number of phone unlocks, sleep duration, and sedentary time were measured using the StudentLife smartphone sensing app. Depression and anxiety were assessed using weekly self-reported ecological momentary assessments of the Patient Health Questionnaire-4. The participants were 217 undergraduate students, with 178 (82.0%) students providing data during the …","JMIR Publications Inc., Toronto, Canada",,2020
22,Differentiating higher and lower job performers in the workplace using mobile sensing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&citation_for_view=7OC4jEUAAAAJ:u5HHmVD_uO8C,"Assessing performance in the workplace typically relies on subjective evaluations, such as, peer ratings, supervisor ratings and self assessments, which are manual, burdensome and potentially biased. We use objective mobile sensing data from phones, wearables and beacons to study workplace performance and offer new insights into behavioral patterns that distinguish higher and lower performers when considering roles in companies (i.e., supervisors and non-supervisors) and different types of companies (i.e., high tech and consultancy). We present initial results from an ongoing year-long study of N=554 information workers collected over a period ranging from 2-8.5 months. We train a gradient boosting classifier that can classify workers as higher or lower performers with AUROC of 0.83. Our work opens the way to new forms of passive objective assessment and feedback to workers to potentially provide …",ACM,,2019
23,GLOBEM: Cross-Dataset Generalization of Longitudinal Human Behavior Modeling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&citation_for_view=7OC4jEUAAAAJ:aqlVkmm33-oC,"There is a growing body of research revealing that longitudinal passive sensing data from smartphones and wearable devices can capture daily behavior signals for human behavior modeling, such as depression detection. Most prior studies build and evaluate machine learning models using data collected from a single population. However, to ensure that a behavior model can work for a larger group of users, its generalizability needs to be verified on multiple datasets from different populations. We present the first work evaluating cross-dataset generalizability of longitudinal behavior models, using depression detection as an application. We collect multiple longitudinal passive mobile sensing datasets with over 500 users from two institutes over a two-year span, leading to four institute-year datasets. Using the datasets, we closely re-implement and evaluated nine prior depression detection algorithms. Our …",ACM,,2023
24,"Mental Health and Behavior of College Students During the COVID-19 Pandemic: Longitudinal Mobile Smartphone and Ecological Momentary Assessment Study, Part II",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&citation_for_view=7OC4jEUAAAAJ:WF5omc3nYNoC,"Background Since late 2019, the lives of people across the globe have been disrupted by COVID-19. Millions of people have become infected with the disease, while billions of people have been continually asked or required by local and national governments to change their behavioral patterns. Previous research on the COVID-19 pandemic suggests that it is associated with large-scale behavioral and mental health changes; however, few studies have been able to track these changes with frequent, near real-time sampling or compare these changes to previous years of data for the same individuals. Objective By combining mobile phone sensing and self-reported mental health data in a cohort of college-aged students enrolled in a longitudinal study, we seek to understand the behavioral and mental health impacts associated with the COVID-19 pandemic, measured by interest across the United States in the search terms coronavirus and COVID fatigue. Methods Behaviors such as the number of locations visited, distance traveled, duration of phone use, number of phone unlocks, sleep duration, and sedentary time were measured using the StudentLife mobile smartphone sensing app. Depression and anxiety were assessed using weekly self-reported ecological momentary assessments, including the Patient Health Questionnaire-4. The participants were 217 undergraduate students. Differences in behaviors and self-reported mental health collected during the Spring 2020 term, as compared to previous terms in the same cohort, were modeled using mixed linear models …","JMIR Publications Inc., Toronto, Canada",,2021
25,Social Sensing: Assessing Social Functioning of Patients Living with Schizophrenia using Mobile Phone Sensing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&citation_for_view=7OC4jEUAAAAJ:qjMakFHDy7sC,"Impaired social functioning is a symptom of mental illness (e.g., depression, schizophrenia) and a wide range of other conditions (e.g., cognitive decline in the elderly, dementia). Today, assessing social functioning relies on subjective evaluations and self assessments. We propose a different approach and collect detailed social functioning measures and objective mobile sensing data from N=55 outpatients living with schizophrenia to study new methods of passively accessing social functioning. We identify a number of behavioral patterns from sensing data, and discuss important correlations between social function sub-scales and mobile sensing features. We show we can accurately predict the social functioning of outpatients in our study including the following sub-scales: prosocial activities (MAE = 7.79, r = 0.53), which indicates engagement in common social activities; interpersonal behavior (MAE = 3.39, r = 0 …",,,2020
26,From User Surveys to Telemetry-Driven AI Agents: Exploring the Potential of Personalized Productivity Solutions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7OC4jEUAAAAJ:NhqRSupF_l8C,"Information workers increasingly struggle with productivity challenges in modern workplaces, facing difficulties in managing time and effectively utilizing workplace analytics data for behavioral improvement. Despite the availability of productivity metrics through enterprise tools, workers often fail to translate this data into actionable insights. We present a comprehensive, user-centric approach to address these challenges through AI-based productivity agents tailored to users' needs. Utilizing a two-phase method, we first conducted a survey with 363 participants, exploring various aspects of productivity, communication style, agent approach, personality traits, personalization, and privacy. Drawing on the survey insights, we developed a GPT-4 powered personalized productivity agent that utilizes telemetry data gathered via Viva Insights from information workers to provide tailored assistance. We compared its …",ACM,,2025
27,Passive sensing of anhedonia and amotivation in a transdiagnostic sample.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7OC4jEUAAAAJ:EUQCXRtRnyEC,"Anhedonia and avolition are core clinical features of schizophrenia, bipolar disorder, and major depressive disorder, which have been traditionally assessed using clinical rating scales. However, recent developments in mobile technology allow for measurement of anhedonia and amotivation using passive sensors (eg, global positioning system and actigraphy) and surveys completed in daily life (ie, ecological momentary assessment [EMA]). The current study examined associations between clinical rating scales assessing anhedonia and amotivation and passive sensing measures. We aimed to determine the added value of passive sensing measures in explaining variability in clinical interviews, compared to models using EMA alone. We recruited a transdiagnostic sample (schizophrenia= 41, bipolar disorder= 47, and major depressive disorder= 48) to complete an in-person assessment session, as well as a 2 …",American Psychological Association,,2025
28,Acute suicidal ideation in context: highlighting sentiment-based markers through the diary entries of a clinically depressed sample,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7OC4jEUAAAAJ:vV6vV6tmYwMC,"Background Despite major strides in conceptualizing and modeling the multifaceted nature of suicidal thought and behavior (STB) over the past few decades, the overall predictability of STB has not improved. This may be partly due to the dynamic nature of suicidal ideation (SI), which often fluctuates over hours, yet is largely overlooked in studies. Bolstered by the application and promise of natural language processing (NLP) across the mental health field, efforts toward richer operationalization of acute SI may include analyses on written data that occur alongside changes in SI, thus offering a better understanding of STB as it unfolds. Methods Ecological momentary assessment (EMA) data from 268 participants with major depressive disorder (MDD) were utilized to investigate acute changes in SI. Data consisted of thrice-daily SI severity scores measured through self-report responses to item 9 of the Patient Health …",BioMed Central,,2025
29,Semantic signals in self-reference: The detection and prediction of depressive symptoms from the daily diary entries of a sample with major depressive disorder.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7OC4jEUAAAAJ:9ZlFYXVOiuMC,"Individuals with major depressive disorder (MDD) experience fewer positive and more negative emotions and use fewer positive words to describe themselves. Natural language processing techniques have been used to predict depression, with pronoun and emotion usage being identified as important features. However, it is unclear how depressed individuals use positive and negative words when writing about themselves. Individuals with MDD (N= 258) completed ecological momentary assessments three times a day (including the Patient Health Questionnaire-9 [PHQ-9] and a free-text diary entry) and weekly ecological momentary assessments (including a free-text response to a life events prompt) over a 90-day study period. Using natural language processing techniques, we generated 20 model features to detect and predict averages of and changes in weekly depression from diary entries. Four regression …",American Psychological Association,,2025
30,Anhedonia in flux: Understanding the associations of emotion regulation and anxiety with anhedonia dynamics in a sample with major depressive disorder,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OC4jEUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7OC4jEUAAAAJ:ldfaerwXgEUC,"Negative rumination and emotion regulation difficulties have been consistently linked with depression. Despite anhedonia—the lack of interest in pleasurable experiences—being a cardinal symptom of depression, emotion regulation of positive emotions, including dampening, are considered far less in the literature. Given that anhedonia may manifest through blunted responses to previously positive or enjoyable experiences, it is vital to understand how different positive emotion regulation strategies impact anhedonia symptom severity and how it can vary or change over time. Moreover, understanding the detrimental or protective nature of positive emotion regulation on anhedonia can aid with future anhedonia-focused treatments. Therefore, the current study examined the temporal association between anhedonia dynamics and two different emotion rumination strategies in response to positive emotions …",Elsevier,,2025
31,Guide to intrusion detection and prevention systems (idps),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=aiI32MEAAAAJ&citation_for_view=aiI32MEAAAAJ:RGFaLdJalmkC,"The National Institute of Standards and Technology (NIST) developed this document in furtherance of its statutory responsibilities under the Federal Information Security Management Act (FISMA) of 2002, Public Law 107-347. NIST is responsible for developing standards and guidelines, including minimum requirements, for providing adequate information security for all agency operations and assets; but such standards and guidelines shall not apply to national security systems. This guideline is consistent with the requirements of the Office of Management and Budget (OMB) Circular A-130, Section 8b (3),“Securing Agency Information Systems,” as analyzed in A-130, Appendix IV: Analysis of Key Sections. Supplemental information is provided in A-130, Appendix III.",,,2007
32,Wireshark & Ethereal network protocol analyzer toolkit,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=aiI32MEAAAAJ&citation_for_view=aiI32MEAAAAJ:IWHjjKOFINEC,"Ethereal is the# 2 most popular open source security tool used by system administrators and security professionals. This all new book builds on the success of Syngress' best-selling book Ethereal Packet Sniffing. Wireshark & Ethereal Network Protocol Analyzer Toolkit provides complete information and step-by-step Instructions for analyzing protocols and network traffic on Windows, Unix or Mac OS X networks. First, readers will learn about the types of sniffers available today and see the benefits of using Ethereal. Readers will then learn to install Ethereal in multiple environments including Windows, Unix and Mac OS X as well as building Ethereal from source and will also be guided through Ethereal's graphical user interface. The following sections will teach readers to use command-line options of Ethereal as well as using Tethereal to capture live packets from the wire or to read saved capture files. This section also details how to import and export files between Ethereal and WinDump, Snort, Snoop, Microsoft Network Monitor, and EtherPeek. The book then teaches the reader to master advanced tasks such as creating sub-trees, displaying bitfields in a graphical view, tracking requests and reply packet pairs as well as exclusive coverage of MATE, Ethereal's brand new configurable upper level analysis engine. The final section to the book teaches readers to enable Ethereal to read new Data sources, program their own protocol dissectors, and to create and customize Ethereal reports.-Ethereal is the# 2 most popular open source security tool, according to a recent study conducted by insecure. org-Syngress' first Ethereal book has consistently …",Elsevier,,2006
