paperID,paper_summary
26,"From User Surveys to Telemetry-Driven AI Agents: Exploring the Potential of Personalized Productivity Solutions; This paper presents a user-centric, AI-based productivity agent that uses telemetry data from information workers to provide personalized assistance, developed from survey insights on productivity challenges and user preferences."
27,"Passive sensing of anhedonia and amotivation in a transdiagnostic sample.; This study examines the associations between clinical rating scales for anhedonia and amotivation and measures from passive sensing and ecological momentary assessment (EMA) in a transdiagnostic sample, aiming to determine the added value of passive sensing over EMA alone."
28,"Acute suicidal ideation in context: highlighting sentiment-based markers through the diary entries of a clinically depressed sample; This study utilizes ecological momentary assessment data and natural language processing to investigate acute changes in suicidal ideation, analyzing written data that occurs alongside self-reported changes in severity to better understand suicidal thought and behavior."
29,"Semantic signals in self-reference: The detection and prediction of depressive symptoms from the daily diary entries of a sample with major depressive disorder.; Using natural language processing on daily diary entries from individuals with major depressive disorder, this study developed regression models to detect and predict weekly depression changes based on features like pronoun and emotion word usage."
30,Anhedonia in flux: Understanding the associations of emotion regulation and anxiety with anhedonia dynamics in a sample with major depressive disorder; This study examines the temporal association between anhedonia dynamics and positive emotion regulation strategies in individuals with depression to understand how these strategies impact anhedonia symptom severity over time.
31,"Guide to intrusion detection and prevention systems (idps); This document, developed by NIST under FISMA, provides standards and guidelines for information security for federal agency operations and assets, excluding national security systems, consistent with OMB Circular A-130."
32,"Wireshark & Ethereal network protocol analyzer toolkit; This book provides comprehensive, step-by-step instructions for analyzing network traffic and protocols on various operating systems using the open-source security tool Wireshark (formerly Ethereal), covering installation, usage, and advanced features."
33,"Technical guide to information security testing and assessment; Developed by NIST under the Federal Information Security Management Act (FISMA), this document provides standards and guidelines for ensuring adequate information security for all federal agency operations and assets, excluding national security systems."
34,"Information security continuous monitoring (ISCM) for federal information systems and organizations; This guideline assists organizations in developing and implementing a continuous monitoring strategy to provide visibility into assets, threats, vulnerabilities, and the effectiveness of security controls for timely risk response."
35,"Guide to IPsec VPNs:.; This NIST document, created under FISMA, outlines standards and guidelines for providing adequate information security for all federal agency operations and assets, with the exception of national security systems."
36,"Virginia Cyber Navigator Internship Program (VA-CNIP): Service Learning in Local Election Security; This paper provides an overview of the Virginia Cyber Navigator Internship Program (VA-CNIP), an innovative educational program designed to develop cybersecurity professionals to protect election infrastructure through a multi-component training and internship experience."
37,NIST SP 800-115
38,"A study of security and privacy issues associated with the Amazon Echo; This paper analyzes the security, privacy, and Fourth Amendment implications of the Amazon Echo, examining its use in law enforcement investigations and concluding with security recommendations for owners."
39,What do we need to make IoT security a reality
40,Ethical Challenges of the Internet of Things
41,"A stochastic dynamic pricing model for the multiclass problems in the airline industry; This paper proposes a stochastic dynamic pricing model for the airline industry that uses phase-type distributions and renewal processes to model customer behavior, demonstrating a 31 percent average revenue increase in a real-world case study."
42,"Optimal timing of airline promotions under dilution; This paper proposes a stochastic dynamic model to determine the optimal timing of airline promotions by considering demand dilution from both higher fare families and future purchases, proving the existence of an optimal policy."
43,"Using longitudinal health records to simulate the impact of national treatment guidelines for cardiovascular disease; This study develops a simulation model using electronic health record data to test multiple cardiovascular disease prevention guidelines, employing an EM algorithm and Monte-Carlo simulation to estimate treatment benefits and harms."
44,"Monitoring policy in the context of preventive treatment of cardiovascular disease; This paper proposes a finite horizon Markov decision process, built from electronic health records, to define optimal patient monitoring policies for chronic diseases like high cholesterol, balancing the costs of frequent monitoring against the risks of infrequent assessment."
45,"Uncovering Patterns in Overdose Deaths: An Analysis of Spike Identification in Fatal Drug Overdose Data in Massachusetts, 2017-2023; This study analyzes daily fatal overdose data in Massachusetts using a spike detection algorithm with varying thresholds, confirming the existence of short-term spikes in deaths that are obscured by long-term trend analysis."
46,Drug involvement variations in overdose death spikes: county-level analysis in Massachusetts; This study uses a spike detection method on Massachusetts overdose data to investigate which specific substances are more frequently involved in sudden surges of fatalities at the state and county levels.
47,"Family dynamics and environmental factors influencing progression from alcohol experimentation to initiation in youth: Evidence from the Adolescent Brain Cognitive Development …; Using data from the Adolescent Brain Cognitive Development Study, this research evaluates the influence of individual, interpersonal, and environmental factors on the time it takes for preadolescent youth to transition from alcohol experimentation (sipping) to initiation (a full drink)."
48,"Early adolescent substance use patterns and associated factors: A longitudinal analysis of the Adolescent Brain Cognitive Development Study; This study analyzes longitudinal data from the ABCD Study to identify demographic, family, and peer-related factors associated with alcohol, nicotine, cannabis, and multiple substance use in children aged 9 to 13."
49,"Who Goes Next? Optimizing the Allocation of Adherence-Improving Interventions; This paper develops a binary integer program and a dynamic logistic regression model to predict long-term medication non-adherence and select patients for adherence-improving interventions, aiming to reduce cardiovascular events under budget constraints."
50,"The effect of chemical residues on the physical and electrical properties of chemical vapor deposited graphene transferred to SiO2; This study demonstrates that vacuum annealing substantially reduces polymer residue from transferred chemical vapor deposited graphene, resulting in a nearly twofold increase in average carrier mobility from 1400 to 2700 cm2/Vs."
51,"Defect-Dominated Doping and Contact Resistance in MoS2; This research finds that intrinsic defects in MoS2 dominate metal contact resistance, providing a low Schottky barrier independent of the metal's work function and causing significant local variations in doping that can shift the Fermi level by 1 eV."
52,"MoS2 P-type Transistors and Diodes Enabled by High Work Function MoOx Contacts; This work demonstrates that substoichiometric molybdenum trioxide (MoOx), a high work function material, acts as an efficient hole injection layer for MoS2 and WSe2, enabling the fabrication of p-type transistors with improved performance."
53,"Hole Selective MoOx Contact for Silicon Solar Cells; This study demonstrates a dopant-free, room-temperature processed oxide/silicon solar cell with 14.3% efficiency by using an ultrathin molybdenum oxide layer as a transparent hole selective contact, which behaves as a high workfunction material."
54,"2D materials advances: from large scale synthesis and controlled heterostructures to improved characterization techniques, defects and applications; This comprehensive review discusses recent groundbreaking discoveries in two-dimensional materials beyond graphene, covering improved production methods, doping, optical properties, and recent advances in their application in 2D electronics."
55,Environmental Control of Ferroelectricity in Hafnia Films; This work presents a novel approach to tune the ferroelectric properties of hafnia films by demonstrating a reversible transition from non-ferroelectric to ferroelectric behavior through the modulation of the surrounding gas environment.
56,"Process temperature dependence of sputtered MgO/n-type GaN metal–oxide–semiconductor capacitors; This study investigates the temperature dependence of epitaxial MgO growth on GaN, finding that a persistent interfacial phase originating from ion bombardment affects the electronic properties and stability of the resulting capacitor devices."
57,Effect of Precursor Purge Time on Plasma-Enhanced Atomic Layer Deposition-Prepared Ferroelectric Hf0.5Zr0.5O2 Phase and Performance; This study investigates how varying the metal precursor purge time during plasma-enhanced atomic layer deposition influences the crystalline phases and ferroelectric properties of hafnium zirconium oxide thin films.
58,"Electrodeposition of amorphous molybdenum sulfo-selenide as a low-cost catalyst; This research demonstrates a scalable, single-electrolyte electrodeposition technique to synthesize amorphous molybdenum-selenium-sulfide (a-MoSxSe) films, systematically studying how selenium content influences their physical, chemical, and catalytic properties for electrochemical processes."
59,"Properties of Electrodeposited Molybdenum Disulfide on Zinc Oxide and Zinc Oxide/Zinc Sulfide Nanowires; This paper reports a facile three-step synthesis technique for nanowire heterostructures, demonstrating that the synergistic properties of the band alignment and increased surface area in CP-ZnO-ZnS-MoS2 catalysts lead to high performance for the hydrogen evolution reaction."
60,Design of low-emission and energy-efficient residential buildings using a multi-objective optimization algorithm; This work presents a multi-objective optimization model based on the harmony search algorithm to minimize the life cycle cost and carbon dioxide emissions of residential buildings by optimizing various building envelope parameters.
61,"On the development of multi-linear regression analysis to assess energy consumption in the early stages of building design; This paper presents a new model, developed using Monte Carlo simulations and building simulation software, to predict and quantify energy consumption in commercial buildings during the early stages of design."
62,"A novel fusion-based deep learning model for sentiment analysis of COVID-19 tweets; This study proposes a novel fusion model of deep learning and classical machine learning to analyze the sentiment of coronavirus-related tweets from eight countries, correlating the findings with Google Trends search data."
63,"Evaluation of self-healing mechanisms in concrete with double-walled sodium silicate microcapsules; This study develops and evaluates double-walled polyurethane/urea-formaldehyde microcapsules containing sodium silicate as a healing agent for self-healing concrete, demonstrating enhanced durability at high temperatures."
64,"Dicyclopentadiene and sodium silicate microencapsulation for self-healing of concrete; This study evaluates the effects of preparation parameters like temperature, agitation rate, and pH on the shell thickness and size of microcapsules containing dicyclopentadiene (DCPD) and sodium silicate for self-healing concrete."
65,A graph attention network framework for generalized-horizon multi-plant solar power generation forecasting using heterogeneous data; This article proposes a general framework for forecasting solar power output from multiple photovoltaic plants across variable time horizons by introducing a single adjustable module and a geographic distance-based graph construction method.
66,"Investigating Instructors’ Experiences in a Neurodiversity-Focused AI Training Program; Drawing on instructor interviews, this paper examines the multifaceted challenges of teaching AI to neurodivergent community college students, highlighting difficulties in adapting instruction, managing classroom dynamics, and the need for comprehensive instructor training."
67,"Navigating the Social-Emotional Landscape of Neurodiversity in AI Education; This paper explores the critical social and emotional dimensions of AI education for neurodivergent students by examining the experiences of instructors and students in a specialized summer program, emphasizing the need for educator professional development."
68,Optimizing thermal insulation of waterborne acrylic coatings through controlled integration of hydrophobic silica aerogel: Experimental insights and advanced modeling
69,Preparing Autistic Students for the AI Workforce
70,"The robots are here: Navigating the generative ai revolution in computing education; This working group report provides a comprehensive exploration of generative AI in computing education, including a literature review of 71 articles, to synthesize findings and guide educators on adapting their pedagogy."
71,Compiler error messages considered unhelpful: The landscape of text-based programming error message research; This paper presents a systematic literature review of programming error messages to consolidate over half a century of scattered research and help the computing education community advance work in this area.
72,"Metacognitive difficulties faced by novice programmers in automated assessment tools; This paper reports on a think-aloud study observing novice programmers using an automated assessment tool, revealing that students face difficulties and often mentally augment the tool, indicating a need for better cognitive scaffolding to develop metacognitive awareness."
73,"Metacognition and self-regulation in programming education: Theories and exemplars of use; This article presents a systematic review of metacognition and self-regulation in computing education, discussing leveraged theories and identifying prominent theories from other fields that have yet to be applied to programming education."
74,"First things first: Providing metacognitive scaffolding for interpreting problem prompts; This paper argues for the importance of developing metacognitive awareness in novice programmers and explores how explicit instruction on problem-solving processes can help students, a task that is difficult to implement at scale without specialized tools."
75,"GenAI Integration in Upper-Level Computing Courses; This Working Group will report on the current state of the art in using Generative AI in upper-level computing courses by conducting a methodological review and soliciting community input to address concerns about trust, integrity, and ethics."
76,"An International Examination of Non-Technical Skills and Professional Dispositions in Computing--Identifying the Present Day Academia-Industry Gap; This work conducts a three-pronged gap analysis comparing academic preparation with industry expectations for professional dispositions and non-technical skills in computing graduates, considering aspects of Diversity, Equity, Inclusion, and Accessibility."
77,"Office Hours and Online Forum Engagement in Introductory CS Courses; This research explores the relationship between students' use of online Q&A forums (Piazza) and office hours in introductory computer science courses, finding that more active Piazza users also attend office hours more frequently."
78,"All for One and One for All-Collaboration in Computing Education: Policy, Practice, and Professional Dispositions; This project aims to address the academia-industry gap in professional dispositions by investigating how collaborative learning practices in computing education can help students develop the non-technical skills expected of entry-level engineers."
79,"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation; A within-subjects study of novice programmers found that using the GitHub Copilot AIDE significantly increased coding efficiency and reduced workload under time pressure, without impacting emotion or self-efficacy."
80,"Size, volume fraction, and nucleation of Stober silica nanoparticles; This study uses NMR, SAXS, and DLS to monitor silica nanoparticle synthesis, finding that after an induction period, the first nuclei formed are fractal, open, and significantly larger in ethanol than in methanol."
81,"A phase diagram for polymer-grafted nanoparticles in homopolymer matrices; This study quantifies the stability of polystyrene-grafted silica nanoparticles in polystyrene matrices, developing a phase diagram that predicts nanoparticle dispersion based on graft density and the molecular weights of the graft and matrix polymers."
82,"Chemical reaction kinetics leading to the first Stober silica nanoparticles–NMR and SAXS investigation; Using NMR and SAXS, this study identifies the hydrolyzed monomer intermediates leading to the formation of primary silica particles, finding that their appearance is thermodynamically controlled by a supersaturation of these species."
83,"Photocatalytic oxidation of cadmium-EDTA with titanium dioxide; This study demonstrates that photocatalytic oxidation with titanium dioxide can rapidly destroy the stable Cadmium-EDTA complex across a range of pH values, with the fate of the liberated cadmium ions depending on suspension pH."
84,"Connecting the wetting and rheological behaviors of poly (dimethylsiloxane)-grafted silica spheres in poly (dimethylsiloxane) melts; This study maps a phase diagram for PDMS-grafted silica spheres in PDMS melts, relating their static wetting behavior to rheological properties and showing a transition from stable, Newtonian behavior to unstable, aggregated behavior."
85,"Engineering Nanoparticle Surface Amphiphilicity: An Integrated Computational and Laser Desorption Ionization Study of Controlled Ligand Self-Assembly; This work uses an integrated experimental and simulation framework to investigate the self-assembly of mixed hydrophobic and hydrophilic thiol ligands on ultrasmall gold nanoparticles, exploring how surface composition controls monolayer phase separation."
86,"REU Site: Advanced Materials Synthesis at the University of Virginia; This paper describes a Research Experience for Undergraduates (REU) site that provides diverse undergraduate students with interdisciplinary research training in advanced materials synthesis, mentorship, and professional development."
87,"Computational and Experimental Investigations of Phase-Separated Monolayers on Ultrasmall Noble Metal Nanoparticles; With support from the NSF, this research uses a combination of experimental and computational techniques to study and manipulate the complex surface patterns formed by mixed-ligand layers on metal nanoparticles."
88,"Straightforward one-pot syntheses of silylamides of magnesium and calcium via an in situ Grignard metalation method; This paper describes an in situ Grignard metalation method (iGMM) that allows for the straightforward, large-scale preparation of calcium bis(amides) from calcium turnings and various amines in THF at room temperature."
89,"The Effect of Solvent Viscosity on Production of Few-layer Graphene from Liquid-Phase Exfoliation of Graphite; This study systematically explores the effect of solvent viscosity on the liquid-phase exfoliation of graphite, demonstrating that higher viscosity solvents can produce more exfoliated graphitic material at a given shear rate."
90,"Adaptive control design and analysis; This book provides a systematic and unified presentation of the fundamentals of adaptive control theory for both continuous-time and discrete-time systems, covering topics from stability and parameter estimation to multivariate and nonlinear designs."
91,"Adaptive Control of Systems with Actuator and Sensor Nonlinearities; This book offers engineers a unified, adaptive, inverse approach for controlling common ""hard"" nonlinearities like dead-zone, backlash, and hysteresis in both continuous-time and discrete-time control systems."
92,"Feedback control real-time scheduling: Framework, modeling, and algorithms; This paper presents a feedback control real-time scheduling (FCS) framework that uses control theory to systematically design and analyze adaptive algorithms for satisfying transient and steady-state performance specifications in real-time systems."
93,"Adaptive control of plants with unknown hystereses; The authors present a new adaptive controller structure with an adaptive hysteresis inverse, which achieves linear parameterization and ensures global boundedness of closed-loop signals for plants with unknown hysteresis nonlinearities."
94,"Robust backstepping sliding-mode control and observer-based fault estimation for a quadrotor UAV; This study proposes a robust nonlinear controller for a quadrotor UAV that combines sliding-mode and backstepping techniques to achieve Cartesian position trajectory tracking, with stability guaranteed through step-by-step subsystem stabilization."
95,"A discrete-time least-squares adaptive state tracking control scheme with a mobile-robot system study; This paper develops a new adaptive state tracking control scheme for discrete-time systems using least-squares algorithms, proving its stability and demonstrating its effectiveness for state tracking and collision avoidance in a multi-robot system."
96,Adaptive output tracking control with reference model system uncertainties; This paper develops new adaptive output tracking control schemes that can handle reference signals generated from an unknown reference system by using an expanded controller structure to estimate an equivalent reference input signal.
97,"Koopman System Approximation-Based Optimal Control of Multiple Mobile Robots; This article applies Koopman operator theory to develop a linear or bilinear model approximation of nonlinear utility functions for the optimal control of a multiple-mobile-robot system, using an iterative algorithm for adaptive parameter estimation."
98,Adaptive output tracking control with reference model system uncertainties: extensions; This paper extends previous work on adaptive output tracking control to discrete-time and MIMO systems with unknown reference models by expanding the controller structure to include a parametrized estimator of the equivalent reference input signal.
99,"Discrete-time adaptive state tracking control schemes using gradient algorithms; This paper solves the open discrete-time adaptive state tracking control problem by developing new schemes that use gradient algorithms for updating controller parameters, ensuring system stability and desired tracking properties."
100,"Nanoshell-mediated near-infrared thermal therapy of tumors under magnetic resonance guidance; This article describes how metal nanoshells, tuned to strongly absorb near-infrared light, can be used for thermal cancer therapy by delivering a therapeutic dose of heat to targeted cells, as demonstrated in vitro on human breast carcinoma."
101,"Photo-thermal tumor ablation in mice using near infrared-absorbing nanoparticles; This in vivo study demonstrates the feasibility of nanoshell-assisted photo-thermal therapy, showing that intravenously injected nanoshells accumulating in tumors can lead to complete tumor abatement upon near-infrared laser illumination in mice."
102,"Immunotargeted nanoshells for integrated cancer imaging and therapy; This paper demonstrates a novel, all-optical platform technology using immunotargeted nanoshells that are engineered to both scatter near-infrared light for molecular cancer imaging and absorb it for selective therapeutic destruction of tumors."
103,"Photopolymerizable hydrogels for tissue engineering applications; This review discusses photopolymerized hydrogels for tissue engineering, highlighting their advantages such as in situ formation, tunable physical properties resembling soft tissues, high permeability, and the ability to encapsulate living cells."
104,Near-infrared resonant nanoshells for combined optical imaging and photothermal cancer therapy; This study demonstrates that nanoshells designed to both absorb and scatter in the near-infrared region can provide dramatic contrast enhancement for optical coherence tomography imaging and enable effective photothermal ablation of tumors in a mouse model.
105,"Enzyme-mediated free radical initiating systems for the production of hydrogels and controlled radical polymerization processes; This disclosure describes an enzyme-mediated radical initiating system and its use in producing polymers, including polymeric hydrogels, under ambient conditions."
106,"A Multi-Institutional Study of Magnetic Resonance/Ultrasound Fusion–Guided Nanoparticle-Directed Focal Therapy for Prostate Ablation: Erratum; This erratum corrects a previous article on a multi-institutional study of nanoparticle-directed focal therapy for prostate ablation, changing the keyword ""nanoparticles"" to ""nanoshells""."
107,"Detection of fluorescent protein mechanical switching in cellulo; Guided by a computational model, this study demonstrates that force-sensitive mechanical switching of fluorescent proteins can be visualized within living cells, occurring reversibly in proteins like vinculin and being altered by cellular force generation."
108,"Neurogenic Cell Behavior in 3D Culture Enhanced Within a Highly Compliant Synthetic Hydrogel Platform Formed via Competitive Crosslinking; This study implements a modularly tunable, ultrasoft, and degradable hydrogel system using competitive matrix crosslinking, demonstrating that its finely tuned compliance enhances the neurogenic behavior of cultured neural stem cells."
109,"Scaling the propulsive performance of heaving flexible panels; This experimental investigation of flexible panels with heave oscillations at their leading edge finds that net thrust increases with frequency and experiences boosts near resonant frequencies, scaling with dimensionless parameters from beam theory."
110,"Tunable stiffness enables fast and efficient swimming in fish-like robots; This research reveals that fish can leverage tunable flexibility by modulating tail stiffness to achieve efficient swimming, showing that muscle tension should scale with speed squared to maximize efficiency and can double it at high frequencies."
111,"Maximizing the efficiency of a flexible propulsor using experimental optimization; This study uses experimental gradient-based optimization to maximize the propulsive efficiency of a flexible panel, finding that optimum heave and pitch motions can nearly double the efficiency of heave-only motions by operating at a resonant frequency."
112,"Unsteady propulsion near a solid boundary; This study shows that an airfoil undergoing pitch oscillations in ground effect experiences enhanced thrust at little extra cost, with time-averaged lift being either attractive or repulsive depending on the proximity to the boundary."
113,"Propulsive performance of unsteady tandem hydrofoils in a side-by-side configuration; This study of two bio-inspired hydrofoils oscillating side-by-side reveals that in-phase motion enhances efficiency at the cost of thrust, while out-of-phase motion enhances thrust with no efficiency change, due to specific wake interactions."
114,"Wavenumber affects the lift of ray-inspired fins near a substrate; Using a ray-inspired robotic fin, this study demonstrates that near a ground plane, a ray-like fin's time-averaged lift is highly dependent on wavenumber, producing a suction force towards the ground due to the dominance of quasi-steady forces."
115,"Hydrodynamic interactions of low-aspect-ratio oscillating panels in a tip-to-tip formation; Through simulations and experiments, this study finds that two vertically-aligned plates pitching in-phase experience a significant thrust enhancement due to wake compression and intensified leading-edge vortices, a benefit that persists across a wide Reynolds-number range."
116,"Spontaneous snapping-induced jet flows for fast, maneuverable surface and underwater soft flapping swimmer; This paper reports a manta-like soft swimmer that leverages a spontaneous snapping stroke in its monostable flapping wing to achieve a record-high speed and high energy efficiency with simple pneumatic actuation and control."
117,"Ground effects on oscillatory and undulatory batoid-inspired fins; This study of batoid-inspired fins near the ground reveals that the 3D fins produce only suction forces, most prominently at low wavenumbers and close ground proximity, due to the dominance of negative quasi-steady lift over positive wake-induced lift."
118,"Breaking the Mold: A New Way to School; This paper presents a new experimental setup using horizontal airfoils to study the performance of vertically-separated, out-of-phase hydrofoils, providing preliminary force, optimization, and PIV data to better understand fish schooling hydrodynamics."
119,"Plastic anisotropy and the role of non-basal slip in magnesium alloy AZ31B; This study combines experimental testing and polycrystal plasticity simulations to explain the plastic behavior and strong in-plane anisotropy of a wrought magnesium alloy, attributing it to initial texture and non-basal dislocation cross-slip."
120,"Application of texture simulation to understanding mechanical behavior of Mg and solid solution alloys containing Li or Y; Using a viscoplastic self-consistent model, this study attributes differences in the mechanical behavior and texture evolution of magnesium alloys to the increased activity of the non-basal <c+a> slip mode, which improves compressive ductility."
121,"The texture and anisotropy of magnesium–zinc–rare earth alloy sheets; This study examines the rolling textures of six magnesium alloys, finding that rare earth additions lower texture strength and reverse yield strength anisotropy, which should improve forming behavior under certain straining conditions."
122,"Hardening evolution of AZ31B Mg sheet; This research characterizes the asymmetric monotonic and cyclic mechanical behavior of AZ31B Mg sheet, attributing it to twinning during compression and untwinning during subsequent tension, with hardening evolution influenced by these mechanisms."
123,"Enhanced ductility in strongly textured magnesium produced by equal channel angular processing; This paper discusses how equal channel angular processing induces a strong deformation texture in magnesium that persists after recrystallization, explaining the resulting enhancement in tensile ductility in terms of plastic anisotropy and deformation mechanisms."
124,"Evaluation of Combining Heat Induction and Laser Ablation for the Removal of Potentially Hazardous Bridge Coatings; This study evaluates combining induction coating removal (ICR) and laser ablation coating removal (LACR) for bridge coatings, finding that the combined ICR+LACR process is approximately 10 times faster than LACR alone and provides a clean, recoatable surface."
125,"Dislocation density measurements on Mg alloys reveal surprising temperature dependences; This study uses ex-situ X-ray line profile analysis and electron backscattered diffraction to examine dislocation densities in a Mg alloy, suggesting that the relative density of <c> dislocations drops with increasing temperature, implying more prevalent non-basal slip."
126,"Strain partitioning-induced anisotropy in thermomechanically processed magnesium alloys comprised of earth-abundant elements; This study describes the anisotropic plastic response of a high-strength, dilute Mg-Al-Ca-Zn alloy sheet using a polycrystal model, attributing its yield strength and strain hardening anisotropy to texture and strain partitioning between grains."
127,"Evolution of dislocations during the rapid solidification in additive manufacturing; Using operando high-energy synchrotron X-ray diffraction, this study semi-quantitatively probes the dynamic evolution of dislocation density in 316L stainless steel during wire-laser directed energy deposition, providing mechanistic insights into the additive manufacturing process."
128,"Guinier-Preston (GP) zone strengthening of dilute magnesium alloys comprised of earth-abundant elements; This study explores the properties of two quaternary Mg-Zn-Ca-Zr sheet alloys strengthened by Guinier-Preston zones, using a polycrystal plasticity model to describe their anisotropic plastic response and finding them immune to hot-tearing."
