TopicID,TopicName,Level1_Category,Level2_Category,Level3_Category,Level4_Category
46,Maternal And Placental Immune Regulation,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
48,Image Reconstruction And Processing,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.3 Computer Vision & Image Processing,
51,Systems Biology,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
55,Tumor Heterogeneity,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
56,Targeted Drug And Gene Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
60,Drug And Cell Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
64,Tissue Regeneration,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
65,Bioprinting,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.3 Biomaterials,
67,Theranostics And Image-Guided Therapies,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
69,Cancer Immunotherapy,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
70,Cell Signaling And Cellular Decision-Making,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.4 Cell & Molecular Engineering,
72,Targeted Therapeutics For Cancer,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
75,Signal And Image Processing,4. Electrical & Electronics Engineering,4.3 Communications & Signal Processing,4.3.3 Image Processing,
81,Cancer,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
82,Biotechnology And Biomolecular Engineering,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
87,Biotechnology Engineering,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
88,Drug And Gene Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
90,Computer Graphics And Vision,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.3 Computer Vision & Image Processing,
93,Inflammation-Fibrosis,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.1 Systems Biology,
94,Advanced Immunotherapies,1. Biomedical & Life Sciences Engineering,1.4 Systems Biology & Bioinformatics,1.4.3 Immunology & Immunoengineering,
95,Nanotechnology,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.4 Nanomaterials,
97,Precision Medicine,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.1 Digital Health,
105,Catalysis,7. Chemical & Nuclear Engineering,7.1 Chemical Engineering,7.1.1 Reaction Engineering,
106,Electrocatalysis,7. Chemical & Nuclear Engineering,7.1 Chemical Engineering,7.1.1 Reaction Engineering,
107,Materials Synthesis,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.1 Materials Synthesis,
111,Statistical Physics & Biophysics,9. Interdisciplinary & Emerging Fields,9.2 Physics & Applied Physics,9.2.4 Statistical Physics,
112,Protein Separations,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.4 Bioprocessing & Bioseparations,
115,Bioengineering,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
130,Materials Microstructure Control,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
132,Reaction Engineering,7. Chemical & Nuclear Engineering,7.1 Chemical Engineering,7.1.1 Reaction Engineering,
138,Therapeutic Peptide Delivery,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.1 Drug Delivery & Therapeutics,
146,Soft Materials,3. Materials Science & Engineering,3.4 Polymers & Soft Matter,3.4.2 Soft Materials,
148,Peptide Self-Assembly,1. Biomedical & Life Sciences Engineering,1.2 Biotechnology & Biomolecular Engineering,1.2.2 Biomolecular Engineering,
152,Safety,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.2 Safety Engineering,
154,Negative Emissions,7. Chemical & Nuclear Engineering,7.3 Energy & Sustainability,7.3.2 Sustainable Processes,
160,Intelligent Transportation Systems,6. Civil & Environmental Engineering,6.2 Transportation Engineering,6.2.3 Intelligent Transportation,
166,Hydroinformatics,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
167,Stormwater,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
168,Flooding,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
169,Smart Cities,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.2 Smart Infrastructure,
171,Infrastructure Condition Assessment,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.3 Structural Health Monitoring,
173,Digital Twins,8. Industrial & Systems Engineering,8.2 Systems Engineering,8.2.2 Systems Design,
179,Construction Automation,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.1 Construction Management,
180,Design,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
181,Behavioral Science,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
184,Hydrological Extremes,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
186,Risk Management,8. Industrial & Systems Engineering,8.2 Systems Engineering,8.2.4 Reliability Engineering,
188,Multiphysics And Multiscale Modeling,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.2 Computational Mechanics,
189,Intelligent Infrastructure Systems,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.2 Smart Infrastructure,
190,Geomechanics And Geomaterials,6. Civil & Environmental Engineering,6.4 Geotechnical Engineering,6.4.1 Soil Mechanics,
191,Field Instrumentation,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.1 Construction Management,
192,Energy Geotechnics,6. Civil & Environmental Engineering,6.4 Geotechnical Engineering,6.4.1 Soil Mechanics,
194,Structural Dynamics And Control,5. Mechanical & Aerospace Engineering,5.5 Dynamics & Vibrations,5.5.1 Structural Dynamics,
195,Innovative Materials For Civil Infrastructure,6. Civil & Environmental Engineering,6.1 Structural Engineering,6.1.4 Construction Materials,
198,Internet Of Things,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.4 Embedded Systems,
199,Computational Statistics,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.3 Statistics,
200,Climate Change,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.4 Climate & Sustainability,
202,Life Cycle Assessment,7. Chemical & Nuclear Engineering,7.3 Energy & Sustainability,7.3.2 Sustainable Processes,
204,Water Resources Management,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.1 Water Resources,
207,Risk Analysis,8. Industrial & Systems Engineering,8.2 Systems Engineering,8.2.4 Reliability Engineering,
208,Uncertainty Analysis,8. Industrial & Systems Engineering,8.2 Systems Engineering,8.2.1 Systems Analysis,
216,Connected And Automated Vehicles,6. Civil & Environmental Engineering,6.2 Transportation Engineering,6.2.3 Intelligent Transportation,
218,Polio Eradication,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.4 Public Health,
219,Tracking Immunity Virus Shedding,9. Interdisciplinary & Emerging Fields,9.5 Health & Medical Applications,9.5.4 Public Health,
221,Artificial Intelligence And Machine Learning,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
225,Audience Interaction,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
226,Informal Learning With Technology,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.2 Educational Technology,
236,Theoretical And Applied Research Intelligent Systems,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
250,Data Mining Machine Learning Computational Epidemiology,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
257,Programming Languages And Compilers,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
260,Threshold Signatures,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
261,Zero-Knowledge Proofs,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
265,Intelligent Human-Centered Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
274,Information And Coding Theory,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
275,Stochastic Modeling,8. Industrial & Systems Engineering,8.1 Operations Research,8.1.2 Stochastic Systems,
282,Algorithms,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
285,AI For Science,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
286,Deep Learning Data Analytics,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.2 Deep Learning & Neural Networks,
287,The Interface Of Data Engineering And Data Science,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
288,Cyber Security,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.2 Cybersecurity,
289,Embedded Systems,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.4 Embedded Systems,
292,Digital Humanities,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
297,CS In Humanities,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
301,Computer Science Education,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.1 CS Education,
303,Programmable Networks,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.1 Networking,
307,Natural Language Processing,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.4 Natural Language Processing,
309,Cryptography,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.3 Cryptography,
312,Software Reliability,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
313,Network Science,8. Industrial & Systems Engineering,8.2 Systems Engineering,8.2.3 Complex Systems,
318,High-Performance Computing,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.2 High Performance Computing,
321,Theoretical Computer Science,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
323,Increasing K-12 Access To Computing,2. Computer Science & Information Technology,2.7 CS Education & Research,2.7.3 Broadening Participation,
328,Behavioral Sensing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.3 Ubiquitous Computing,
329,Ubiquitous Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.3 Ubiquitous Computing,
330,Social Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
332,Digital Well-Being,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.4 Digital Well-being,
333,Positive Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.4 Digital Well-being,
334,Wireless Networking,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.1 Networking,
336,Mobile Computing,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.3 Ubiquitous Computing,
339,Design And Analysis Of Algorithms,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
341,Complexity Theory,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.2 Formal Methods & Verification,
342,Compiler Construction,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
345,Software Engineering,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
351,Computer Game Design,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
355,Compilers,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
357,Randomized Algorithms,2. Computer Science & Information Technology,2.3 Software Engineering & Systems,2.3.1 Software Engineering,
365,Reinforcement Learning,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.1 Core AI/ML,
366,Game Theory,8. Industrial & Systems Engineering,8.1 Operations Research,8.1.4 Decision Analysis,
367,Algorithmic Economics,9. Interdisciplinary & Emerging Fields,9.6 Business & Economics Applications,9.6.3 Economic Analysis,
374,Computer Architecture And Compilers,2. Computer Science & Information Technology,2.2 Computer Systems & Architecture,2.2.1 Computer Architecture,
377,Bioimage Analysis,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.1 Medical Imaging & Diagnostics,
378,Millimeter-Wave And Terahertz,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.4 Laser Technology,
382,Sensors And Instrumentation,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.1 Semiconductor Devices,
383,Optoelectronic Devices,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.1 Photonics,
386,Resilience In Cps,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.4 Cyber-Physical Systems,
390,Low Power Design,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.3 VLSI & Circuits,
392,Microscale Heat Transfer,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.2 Heat Transfer,
395,Computation Materials Science,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
399,Devices And Sensors,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.1 Semiconductor Devices,
404,Biometrics,2. Computer Science & Information Technology,2.4 Networks & Security,2.4.4 Privacy & Trust,
405,Thin-Film And Flexible Devices,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.2 Nanoelectronics,
407,Neuromorphic Computing,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.2 Nanoelectronics,
408,Superconducting Materials And Devices,9. Interdisciplinary & Emerging Fields,9.2 Physics & Applied Physics,9.2.3 Quantum Systems,
410,Number Theory,9. Interdisciplinary & Emerging Fields,9.1 Mathematics & Computational Sciences,9.1.1 Applied Mathematics,
411,Fluid-Structure Interactions,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
414,Machine Learning Transformers,2. Computer Science & Information Technology,2.1 Artificial Intelligence & Machine Learning,2.1.2 Deep Learning & Neural Networks,
416,Emerging Solid-State Devices,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.1 Semiconductor Devices,
417,Device And Circuit Solutions For Large-Scale Data Storage,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.4 Memory & Storage,
418,Integration Of Novel Materials,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.2 Nanoelectronics,
427,Cyber-Physical Systems,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.4 Cyber-Physical Systems,
429,Mechatronics,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.2 Robotics,
443,Optical Microresonators,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.1 Photonics,
444,Optical Frequency Combs,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.4 Laser Technology,
454,Cultural Anthropology,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
457,Ethnography,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
459,Engineering Anthropology,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
461,Critical Methodologies,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
463,Disability Studies Cyborg-Technology,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
465,Media Studies Speculative Fiction,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
467,Technology And Industrialization,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.4 History of Technology,
470,The Anthropocene And Climate Change,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.4 Climate & Sustainability,
473,Material Cultures,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
483,Technology And Science Fiction,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
484,The Lego(R) Group'S Design Values,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
495,Technology And Literature,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
496,Global Cultural Studies,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
498,Scientific Practice,9. Interdisciplinary & Emerging Fields,9.4 Science Technology & Society,9.4.1 Technology & Society,
502,Behavioral Decision-Making,8. Industrial & Systems Engineering,8.1 Operations Research,8.1.4 Decision Analysis,
505,Bio-Inspired Robotics,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.2 Robotics,
507,Density Functional Theory,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
508,Materials Informatics,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
510,Ferroic Materials,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.1 Electronic Materials,
515,Advanced Characterization Of Quantum Nanophotonic Systems,4. Electrical & Electronics Engineering,4.2 Photonics & Optoelectronics,4.2.3 Quantum Optics,
518,Hydrogen Embrittlement,3. Materials Science & Engineering,3.5 Structural Materials,3.5.4 Materials Degradation,
523,Materials Discovery Automation,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.4 Computational Materials,
524,Electron Microscopy In-Situ Techniques 4D-STEM,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.1 Microscopy & Imaging,
529,Magnetic Materials,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.2 Magnetic Materials,
541,Critical Materials,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.4 Energy Materials,
544,Electronic Structures,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.1 Electronic Materials,
545,Multifunctional Materials,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.3 Optical Materials,
547,Orthopaedic Implants,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.3 Medical Devices & Instrumentation,
549,Energy Conversion,7. Chemical & Nuclear Engineering,7.3 Energy & Sustainability,7.3.1 Energy Systems,
555,Lead Pipe,6. Civil & Environmental Engineering,6.3 Water Resources & Environmental,6.3.2 Water Treatment,
560,Materials Synthesis And Processing,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.1 Materials Synthesis,
561,Combinatorial Synthesis,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.1 Materials Synthesis,
564,Opal Crystal Growth,3. Materials Science & Engineering,3.1 Materials Synthesis & Processing,3.1.1 Materials Synthesis,
565,Impact/Shock Mitigation,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.3 Fracture & Fatigue,
568,Solar Power,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.4 Energy Materials,
571,First-Principles Alloy Theory,3. Materials Science & Engineering,3.5 Structural Materials,3.5.1 Metals & Alloys,
572,Phase Transformation,3. Materials Science & Engineering,3.5 Structural Materials,3.5.1 Metals & Alloys,
578,Geometric Data Analysis,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.1 Data Mining & Analytics,
581,Data-Driven Design And Engineering,5. Mechanical & Aerospace Engineering,5.4 Design & Manufacturing,5.4.1 Engineering Design,
582,Digital Human Modeling,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.1 Human Factors,
583,Energy Transport And Conversion,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.3 Thermodynamics,
584,Material Properties,3. Materials Science & Engineering,3.3 Materials Properties & Applications,,
586,Hypersonics,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.1 Aerodynamics,
598,Fire Initiation Propagation,6. Civil & Environmental Engineering,6.5 Construction & Infrastructure,6.5.3 Building Systems,
602,Computational Plasma Physics,7. Chemical & Nuclear Engineering,7.2 Nuclear Engineering,7.2.4 Plasma Physics,
605,Coherent Anti-Stokes Raman Scattering,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.2 Spectroscopy,
606,Optical-Based Measurement,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.2 Spectroscopy,
609,Morphing Structures/Biomimetics,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.4 Smart Structures,
611,Mechanisms Prediction Pedestrian,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
615,Anthropomorphic Test Device,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
621,Development Of High-Order CFD Methods,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
629,Occupant Safety,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.2 Safety Engineering,
630,Human Body Modeling,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
631,Haptics,2. Computer Science & Information Technology,2.5 Human-Computer Interaction,2.5.1 HCI & User Experience,
634,Biomechanics Of Cardiopulmonary Resuscitation,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
637,Trauma Biomechanics,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
638,Scramjets,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.2 Propulsion,
641,Flight Testing,5. Mechanical & Aerospace Engineering,5.3 Aerospace Engineering,5.3.3 Flight Mechanics,
642,Controls,4. Electrical & Electronics Engineering,4.5 Control Systems & Robotics,4.5.1 Control Systems,
644,Rotating Machinery,5. Mechanical & Aerospace Engineering,5.5 Dynamics & Vibrations,5.5.2 Vibration Control,
646,Student Assessment,9. Interdisciplinary & Emerging Fields,9.3 Engineering Education & Research,9.3.1 Engineering Education,
647,Injury Biomechanics,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
652,Biological And Bio-Inspired Materials,3. Materials Science & Engineering,3.4 Polymers & Soft Matter,3.4.4 Biomaterials,
653,Micro/Nanomechanics,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.2 Computational Mechanics,
655,Tribology,5. Mechanical & Aerospace Engineering,5.1 Solid Mechanics & Materials,5.1.3 Fracture & Fatigue,
658,Turbulence Multiphase Flow,5. Mechanical & Aerospace Engineering,5.2 Fluid Mechanics & Thermal Sciences,5.2.1 Fluid Dynamics,
659,Application Of Optical Measurement,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.2 Spectroscopy,
662,Tomography,3. Materials Science & Engineering,3.2 Materials Characterization,3.2.1 Microscopy & Imaging,
663,Three-Dimensional Measurements And Visualization,2. Computer Science & Information Technology,2.6 Data Science & Analytics,2.6.4 Visualization,
668,Design Of Personnel Protective Equipment,8. Industrial & Systems Engineering,8.4 Human Factors & Ergonomics,8.4.2 Safety Engineering,
671,Microfabrication And Mems,4. Electrical & Electronics Engineering,4.1 Microelectronics & Nanoelectronics,4.1.1 Semiconductor Devices,
674,Occupant Kinematics,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.2 Biomechanics & Injury Science,
677,Post Mortem Human Subject Training,1. Biomedical & Life Sciences Engineering,1.1 Biomedical Engineering,1.1.4 Clinical Applications,
682,Structure-Function Relationships,3. Materials Science & Engineering,3.3 Materials Properties & Applications,3.3.1 Electronic Materials,
684,Biomineralizing Tissues,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
686,Bone Cartilage Tendon,1. Biomedical & Life Sciences Engineering,1.3 Tissue Engineering & Regenerative Medicine,1.3.1 Tissue Engineering,
