ID,Name,Departments,Description
27,Shayn Peirce-Cottler,BME,"Shayn Peirce-Cottler develops computational models and combines them with wet lab experiments and machine learning to study how tissues heal after injury and to develop new therapies for inducing tissue regeneration. Her lab is particularly focused on engineering the body's smallest blood vessels -- microvessels, or capillaries -- that are necessary for delivering oxygen and nutrients to every cell in the body. Dr. Peirce-Cottler teaches courses in cell and molecular physiology and computational systems bioengineering to undergraduate and graduate students. She has published over 125 peer reviewed papers and book chapters, and she is an inventor on three U.S. Patents. She is a fellow in both the American Institute for Medical and Biological Engineering College of Fellows (AIMBE) and the Biomedical Engineering Society (BMES). She is also Past-President of The Microcirculatory Society. Dr. Peirce-Cottler is a UVA School of Medicine Pinn Scholar, and in 2020 she was awarded the UVA School of Medicine’s Robert H. Kader Award for Excellence in Graduate Teaching and Mentoring. Dr. Peirce-Cottler is passionate about mentoring students and faculty, promoting diversity in STEM, and participating in K-12 outreach to increase students’ interest and self-confidence in pursuing STEM careers."
28,Noah Perry,BME,"Noah Perry, Ph.D., focuses on leading clinically driven engineering projects that prepare graduate students to address complex healthcare challenges through innovative design and interdisciplinary collaboration. His work centers on equipping students with the technical skills, professional development, and real-world experience needed to become impactful leaders in biomedical engineering. He is an Assistant Professor and Director of the Master of Engineering (M.E.) program in the Department of Biomedical Engineering. He earned his B.S. in Biomedical Engineering from the Georgia Institute of Technology in 2019 and his Ph.D. in Biomedical Engineering from the University of Virginia in 2025, where his doctoral research focused on the genetic regulation of vascular smooth muscle cell phenotypic switching in atherosclerosis and coronary artery disease."
29,Richard Price,BME,"Dr. Price's research program centers on the development and implementation of image-guided drug and gene delivery systems for treating cancer and neurodegenerative diseases. Several lines of investigation in the lab are derived from seminal studies demonstrating that microbubble activation with ultrasound can enable the delivery of therapeutic drug- and gene-bearing nanoparticles across endothelial barriers under MR image-guidance. Other projects in the lab investigate how minimally-invasive focused ultrasound energy deposition into solid tumors may be optimally combined with immunotherapy to treat metastatic disease. Research in this space supports ongoing UVA clinical trials for metastatic breast cancer and other solid malignancies. In his role as Research Director of the UVA Focused Ultrasound Center, he leads an institution-wide effort to identify, investigate, and translate new focused ultrasound applications."
30,Gustavo Rohde,BME;ECE,"Dr. Rohde develops computational predictive models using machine learning and signal and image processing with applications in pathology, radiology, systems biology, and mobile sensing. He earned B.S. degrees in physics and mathematics in 1999, and the M.S. degree in Electrical Engineering in 2001 from Vanderbilt University. He received a doctorate in applied mathematics and scientific computation in 2005 from the University of Maryland. He is Professor of Biomedical Engineering and Electrical and Computer Engineering at the University of Virginia."
31,Jeff Saucerman,BME,"Our lab combines computational modeling and high-throughput experiments to discover molecular networks and drugs that control cardiac remodeling. Our experimental approaches include high-throughput microscopy and -omic profiling of various types of primary and induced pluripotent stem cell (iPSC)-derived cardiac cells (e.g. cardiomyocytes, fibroblasts, macrophages). Our computational approaches include large-scale modeling of signaling/gene regulatory networks, machine learning on -omic data, and mining of electronic health records. Specific application areas include:"
32,Evan Scott,BME,"Evan Scott, renowned for his groundbreaking work in nanotechnology to address cancer, glaucoma, heart disease, and other conditions, leads the Institute for Nanoscale Scientific and Technological Advanced Research (nanoSTAR) as part of the launch of the Paul and Diane Manning Institute of Biotechnology."
33,Natasha Sheybani,BME,"The Sheybani Lab’s mission is centered on engineering innovative tools and paradigms that render cancer management less invasive, less toxic, more effective, and more personalized for cancer patients. Central to our efforts is a disruptive emerging platform technology called focused ultrasound (FUS) – which enables non-invasive, non-ionizing, and targeted deposition of acoustic energy into tumor tissues with high spatial precision. We are advancing applications of FUS for non-surgical tumor debulking, immuno-modulation and immunotherapy (e.g. therapeutic antibody, engineered T cell) delivery in highly complex and aggressive cancer settings, including metastatic breast cancer and brain tumors (high-grade gliomas, brain metastasis, pediatric brain tumors). Our lab also utilizes systems biology and imaging informatics approaches to integrate FUS with serial surveillance strategies like liquid biopsy (e.g. blood draws) and multimodality imaging (e.g. MRI, immuno-PET) to improve the precision, adaptability, and predictability of combinatorial cancer interventions. Our highly translational and multidisciplinary research group interfaces closely with multiple ongoing clinical trials at UVA that are evaluating FUS in aggressive cancer settings. As Research Director of UVA’s FUS Cancer Immunotherapy Center, Dr. Sheybani leads additional efforts beyond the lab to integrate and translate FUS immuno-oncology applications across UVA."
34,Jennifer West,BME;MAE,"Jennifer L. West, UVA Engineering's 14th Dean, has a formidable record of accomplishments spanning 30 years as a transformational researcher, award-winning teacher and mentor, inventor and entrepreneur. Her research focuses on the use of biomaterials, nanotechnology and tissue engineering, applying engineering approaches to studying biological problems and solving unmet medical needs, particularly in the fight against cancer. Dean West came to UVA from Duke University’s Pratt School of Engineering, where she was the Fitzpatrick Family University Distinguished Professor of Engineering and Associate Dean for Ph.D. Education, with appointments in biomedical engineering and mechanical engineering and materials science. She is a member of the National Academy of Engineering, the National Academy of Medicine, and the National Academy of Inventors, with 20 patents that have been licensed to ten different companies. One company, Nanospectra Biosciences Inc., co-founded by West, is running human clinical trials of a cancer therapy she invented. Her priorities as Dean of Engineering at UVA include building upon the school’s research trajectory, increasing experiential learning opportunities for students, and ensuring a clear pathway to entrepreneurship for faculty and students."
35,Aidong Zhang,BME;CS,"Aidong Zhang's research focuses on developing machine learning approaches to interpretable and fair learning, concept-based learning, federated learning, generative AI and medical applications, such as diagnosis and monitoring of Alzheimer's Disease (AD) and AD-related dementias (ADRD). She also works on large language models for hypothesis generations for scientific discovery. Dr. Zhang is Thomas M. Linville Professor of Computer Science, with a joint appointment in the Department of Biomedical Engineering and School of Data Science at University of Virginia. Her research interests focus on machine learning, data mining, bioinformatics and health informatics."
36,Eli Zunder,BME,"Eli Zunder analyzes stem cell fate using single cell mass cytometry and high-dimensional modeling of cell lineage trajectories. He received his Ph.D. in Biophysics from UCSF in 2009. There, he worked in Kevan Shokat’s lab studying the role of PI3K signaling in insulin response, cancer, and drug resistance.  Eli did his postdoc in Garry Nolan’s lab at Stanford University. There, he developed a cell barcoding method for mass cytometry that he used to study kinase inhibitor specificity across the human immune system, developed a graph-based mapping algorithm to track iPS cell reprogramming and identify early reprogramming intermediates, and applied these generalizable methods to map AML patient samples by prognosis and organism-level organization of the mouse immune system."
37,Eric Anderson,CHE,"One area I focus on is building and validating models of chemical processes. Modern commercial software has made many parts of this task much easier, but proper use of commercial tools requires judgment about the inputs and the level of modeling detail, process-specific knowledge, and validation against real-world performance data."
38,Jason Bates,CHE,"Jason received his B.S. in Chemical Engineering at the University of Kansas in 2014 and his Ph.D. in Chemical Engineering at Purdue University in 2019. At Purdue, he studied the fundamental kinetic contributions of solvation and active site structure to dehydration reactions relevant to biomass upgrading using structurally well-defined Lewis acid and Brønsted acid zeolite catalysts. He was an NIH postdoctoral fellow at the University of Wisconsin–Madison in the Department of Chemistry, where he bridged the fields of thermal and electrocatalysis through studies of catalysts consisting of atomically dispersed metals incorporated into nitrogen-doped carbon."
39,Camille Bilodeau,CHE,"Dr. Bilodeau received her B.S. and M.S. from Northwestern University and her Ph.D. from Rensselaer Polytechnic Institute, both in Chemical and Biological Engineering. During her Ph.D., she received the Lawrence Livermore Advanced Simulations and Computation Graduate Fellowship, through which she carried out research at Lawrence Livermore National Laboratory. Dr. Bilodeau was a postdoctoral researcher studying machine learning for molecular design in Klavs Jensen’s group in the Chemical Engineering department at MIT. She joined the University of Virginia as an assistant professor in Chemical Engineering and began her position in January 2023."
40,Liheng Cai,CHE;MSE,"My lab’s research lies at the interface of soft (bio)materials and biology. We seek to understand and control the interactions between soft (bio)materials and living systems to solve challenges in sustainability and health. We achieve this through a combination of experimental and theoretical approaches. Our core expertise includes polymers and soft matter, biomaterials, voxelated bioprinting, and additive manufacturing of soft and inorganic matter. Our research program is highly collaborative and interdisciplinary. The philosophy of our research is to identify and solve problems of both fundamental importance and practical value; this is often accomplished by working closely with experts from various fields."
41,Robert Davis,CHE,"Davis joined the faculty in Chemical Engineering at the University of Virginia in 1990 as an assistant professor, was promoted to associate professor in 1996, and full professor in 2002. Professor Davis also served as the Chair of Chemical Engineering at the University of Virginia from 2002 to 2011. He received the Wilhelm Award of the American Institute of Chemical Engineers, the Emmett Award of the North American Catalysis Society, the NSF Young Investigator Award, the DuPont Young Professor Award, the Union Carbide Innovation Recognition Award, and the UVa Rodman Scholars Award for Excellence in Teaching. Professor Davis has co-authored more than 170 publications, 1 patent and 1 textbook, entitled “Fundamentals of Chemical Reaction Engineering”."
42,William Epling,CHE,"Bill received his PhD from the University of Florida in 1997 and his BS from Virginia Tech in 1992, both in Chemical Engineering. He followed a relatively unique career path that has given him a broad perspective in the field of environmental catalysis, including catalyst design, manufacture, characterization and application. This was gained by working across a spectrum of locations; a national lab (Pacific Northwest National Lab), a catalyst manufacturing company (EmeraChem), and an engine manufacturer (Cummins Inc) before he returned to academia (University of Waterloo, University of Houston and now University of Virginia). His research has most recently focused on diesel engine emissions reduction, catalyst degradation and how catalyst surfaces change with reaction conditions."
43,Roseanne Ford,CHE,"Roseanne M. Ford is a Professor of Chemical Engineering at the University of Virginia. She holds a B.S. degree from the University of Delaware and a Ph.D. from the University of Pennsylvania, both in chemical engineering. She spent the spring of 1995 as a Visiting Professor at the University of Tennessee and Oak Ridge National Laboratory. In 2003 she was a visitor at the USGS in Boulder, CO and a Visiting Professor at EPFL in Lausanne, Switzerland. She recently completed a four-year term as department chair and was Associate Vice President for Research and Graduate Studies from 2004-2010. Professor Ford's research focus is on the transport of chemotactic bacteria in porous media and its impact on bioremediation. She was elected a fellow of the American Institute of Medical and Biological Engineering and was awarded the Cavaliers' Distinguished Teaching Professorship, which is the highest teaching award given at UVa. In 2016 she received the AIChE WIC Excellence in Mentoring Award."
44,Geoff Geise,CHE,"Geoffrey M. Geise is an associate professor at the University of Virginia with appointments in chemical engineering and materials science and engineering (by courtesy). After earning a B.S. degree in chemical engineering from the Pennsylvania State University, he proceeded to earn M.S.E. and Ph.D. degrees in chemical engineering from the University of Texas at Austin where he developed experimental techniques for measuring individual ion sorption in polymers and established a fundamental selectivity/permeability tradeoff relationship in desalination membrane materials. At the University of Virginia, his research focuses on studying the fundamentals of chemically- and electrochemically-driven small molecule transport through polymeric materials in order to engineer membranes that will address global water shortages and need for clean energy. Current focus areas include desalination membranes, ion-specific separations, non-aqueous redox flow battery membranes, and microwave dielectric relaxation spectroscopy."
45,David Green,CHE;MSE;MAE,"Our research group focuses on the synthesis of well-defined nanoparticles, their dispersion into polymer solutions and melts, and their suspension rheology."
46,Ayman Karim,CHE,Ayman Karim is a professor and the new chair of the Department of Chemical Engineering as of August 2025. He is a notable catalysis researcher who has significant national laboratory leadership experience and a strong commitment to teaching and mentoring.
47,Michael King,CHE,"Michael L. King is a professor of practice in the Department of Chemical Engineering. He received his B.S.degree in chemical engineering from VA Tech, M.S. from the University of Virginia and Ph.D. from University of Delaware. Mike had a significant 32-year industrial experience at Merck and Co, Inc. including responsibilities in both the research and manufacturing areas related to the commercialization of new pharmaceuticals and vaccines. He retired as senior VP and advisor to the chairman, president and CEO after a long assignment as senior VP of Science and Technology. He came to UVA in 2007 as The Brenton S. Halsey Distinguished Visiting Professor. He continued as lecturer to help develop the Engineering School's engineering business minor and was appointed professor of practice in 2013."
48,Gary Koenig,CHE,"Currently, energy storage is a major challenge for a variety of applications. Batteries with higher energy density, better safety, and lower cost will be needed to continue the deployment of vehicles in the transportation sector that rely on electrical energy to drive their motors. In addition, energy storage is needed to provide energy for intermittent renewable energy sources such as wind and solar when weather conditions limit energy generation. Improving battery performance will require new innovations in battery materials, chemistries, and architectures."
49,Kyle Lampe,CHE,"Kyle Lampe is an Associate Professor in the Department of Chemical Engineering at the University of Virginia, and by courtesy, Biomedical Engineering and Neuroscience. He was previously a Ruth L. Kirschstein NIH NRSA postdoctoral scholar at Stanford University in the department of Materials Science and Engineering. Kyle completed his Ph.D. and B.S. in Chemical Engineering from the University of Colorado, Boulder and the Missouri University of Science and Technology (Rolla, MO), respectively. Currently funded by NIH, NSF, and the Commonwealth Health Research Board, the Lampe Group investigates biomaterials for tissue engineering, regenerative medicine, and drug delivery within the central nervous system. We develop materials including synthetic polymers, recombinant engineered proteins, and self-assembling peptides and enjoy collaborating widely throughout engineering, biology, and medicine."
50,Rachel Letteri,CHE,"Rachel A. Letteri is an Associate Professor in the Department of Chemical Engineering.  After obtaining a B.S. in Chemical & Biomolecular Engineering from the University of Notre Dame, she completed a Ph.D. in Polymer Science & Engineering from the University of Massachusetts Amherst under the direction of Professors TODD EMRICK and RYAN HAYWARD.  She then conducted postdoctoral research in the laboratory of Professor KAREN WOOLEY in the Department of Chemistry at Texas A&M University from 2016-2018.  Her research interests include materials involving functional polymers, peptides, and interfacial assemblies with applications in medicine and engineering, among others.  Rachel also enjoys sharing science and engineering with others through education and outreach."
51,Blair Okita,CHE,"For the past 35+ years, Blair has been a pharmaceutical manufacturing, quality, and development executive where he has had the opportunity to work globally and drive twelve new chemical/biological and biosimilar products through development and into sustained commercial production. As President of BioPCS Consulting, LLC he provides clients with the knowledge and tools necessary to assure that the performance of their organizations and manufacturing processes are predictable and positioned for successful, sustainable operations. In the Fall of 2023, he served as the Brenton S. Halsey Distinguished Visiting Professor in the Department of Chemical Engineering, School of Engineering and Applied Science, at the University of Virginia. Prior to that, Blair was the SVP of Manufacturing Science, Strategy, and Technology and one of the original four employees of National Resilience Inc. While there, he helped build the organization to the current multi-site organization with over 1600 employees. He has also been the SVP and Head of Global Healthcare Quality at Merck KGAa, Darmstadt Germany with oversight of the Quality organizations at 17 plants and 54 subsidiaries with 1600 Quality Professionals. He spent 14 years at Genzyme Corporation in several different roles leading Technology Development, Global Therapeutics Manufacturing and Global Quality. Blair’s early career included responsibility for the Vaccine Technology group at Merck & Co., Inc as well as Head of the Bioreactor Scale-up group within Biological Process Sciences at SmithKline Beecham. Blair received his BA in Biology from Johns Hopkins University as well as an MS and Ph.D. in Chemical Engineering from the University of Virginia. He, his wife Debbie, and his dog Mia currently live in Charlottesville."
52,Chris Paolucci,CHE,Chris is an Assistant Professor in the Department of Chemical Engineering.  He completed his B.S. and Ph.D in Chemical Engineering at the University of Notre Dame.
53,George Prpich,CHE,"B.Sc. Chemical Engineering, University of Saskatchewan, 2000"
54,Lakeshia Taite,CHE,"Lakeshia Taite designs biomaterials to create cell-instructive microenvironments that encourage tissue growth or regeneration. By tuning the properties of synthetic polymers, naturally derived polymers and hybrid materials combining both, Professor Taite can engineer biofunctional materials capable of supporting cellular processes leading to novel tissue growth, tissue regeneration or the treatment of disease."
