CourseID,Number,Name,Description
14,6548,Special Topics in Applied Mathematics,APMA 6548 Special Topics in Applied Mathematics  Student Evaluations Topics vary from year to year and are selected to fill special needs of graduate students.
15,3340,Complex Variables with Applications,"APMA 3340 Complex Variables with Applications  Student Evaluations Topics include analytic functions, Cauchy Theorems and formulas, power series, Taylor and Laurent series, complex integration, residue theorem, conformal mapping, and Laplace transforms. Prerequisite: APMA 2120 or MATH 2310 or APMA 2512 - Honors Engineering Mathematics II."
16,6430,Statistics for Engineers and Scientists,APMA 6430 Statistics for Engineers and Scientists  Student Evaluations Analyzes the role of statistics in science; hypothesis tests of significance; confidence intervals; design of experiments; regression; correlation analysis; analysis of variance; and introduction to statistical computing with statistical software libraries. Prerequisite: Admission to graduate studies.
17,4993,Independent Reading and Research,APMA 4993 Independent Reading and Research  Student Evaluations Reading and research under the direction of a faculty member. Prerequisite: Fourth-year standing.
18,1000,Preparation for Engineering Mathematics,APMA 1000 Preparation for Engineering Mathematics  Student Evaluations Covers the fundamental concepts necessary for success in engineering courses and Applied Mathemtics courses.
19,8897,Graduate Teaching Instruction,APMA 8897 Graduate Teaching Instruction  Student Evaluations For master's students.
20,9897,Graduate Teaching Instruction,APMA 9897 Graduate Teaching Instruction  Student Evaluations For doctoral students.
21,5070,Numerical Methods,"APMA 5070 Numerical Methods  Student Evaluations Introduces techniques used in obtaining numerical solutions, emphasizing error estimation. Includes approximation and integration of functions, and solution of algebraic and differential equations. Prerequisite: Two years of college mathematics, including some linear algebra and differential equations, and the ability to write computer programs in any language."
22,2512,Advanced Topics in Applied Mathematics,APMA 2512 Advanced Topics in Applied Mathematics  Student Evaluations Advanced special topics in Applied Mathematics
23,3081,Linear Algebra for General Vector Spaces,"APMA 3081 Linear Algebra for General Vector Spaces  Student Evaluations Analyze systems of equations, finding the best approximation to a solution; vector space of matrices and polynomials; coordinate vectors, change of coordinate system; inner product space; linear transformations between general vector spaces; approximating a trigonometric function by a polynomial."
24,6420,Engineering Mathematics II,"APMA 6420 Engineering Mathematics II  Student Evaluations Further and deeper understanding of partial differential equations that govern physical phenomena in science and engineering. Solution of linear partial differential equations by eigenfunction expansion techniques. Green's functions for time-independent and time-dependent boundary value problems. Fourier transform methods, and Laplace transform methods. Solution of a variety of initial-value, boundary-value problems. Various physical applications. Study of complex variable theory. Functions of a complex variable, and complex integral calculus, Taylor series, Laurent series, and the residue theorem, and various applications. Serious work and efforts in the further development of analytical skills and expertise. Cross-listed as MAE 6420. Prerequisite: Graduate standing and APMA 6410 or equivalent."
25,1501,Special Topics,BME 1501 Special Topics  Student Evaluations Student led special topic courses which vary by semester
26,2000,Biomedical Engineering Design and Discovery,"BME 2000 Biomedical Engineering Design and Discovery  Student Evaluations Provides students with the skills necessary to engage in meaningful engineering design, and focuses on the latter stages of the engineering design process - detailed design, prototyping, and evaluation. Students develop skills in computer assisted design, embedded controls, prototyping, analysis and teamwork. A major focus of the class is the execution of a design project. Prerequisites: PHYS 1425, and BME major or minor. Recommended Corequisite: PHYS 2415 or ECE 2200."
27,2101,Physiology I for Engineers,"BME 2101 Physiology I for Engineers  Student Evaluations You will learn how excitable tissue, nerves and muscle, and the cardiovascular and respiratory systems function. You will develop an understanding of mechanisms, with an introduction to structure, an emphasis on quantitative analysis, and integration of hormonal and neural regulation and control. Prerequisites: (PHYS 1425 or PHYS 1420 or PHYS 1710) AND (APMA 1110 or MATH 1320) AND (CHEM 1410 or CHEM 1610 or CHEM 1810) AND BME Major or Minor"
28,2102,Physiology II,"BME 2102 Physiology II  Student Evaluations Introduces the physiology of the kidney, salt and water balance, gastrointestinal system, endocrine system, and central nervous system, with reference to diseases and their pathophysiology. Prerequisite: (CHEM 1410 or CHEM 1610 or CHEM 1810) AND (PHYS 1425 or PHYS 1420 or PHYS 1710) AND BME 2101, or instructor permission."
29,2104,Cell and Molecular Biology for Engineers,"BME 2104 Cell and Molecular Biology for Engineers  Student Evaluations Intro to fundamentals of cell structure and function, emphasizing the techniques and technologies available for the study of cell biology. Content includes cell structure and function; energy flow in cells; information flow in cells focuses on modern molecular biology and genetic engineering, and includes DNA replication, the cell cycle, gene expression, gene regulation, and protein synthesis. Prerequisite: CHEM 1410 or CHEM 1610 or CHEM 1810 or instructor permission."
30,2220,Biomechanics,"BME 2220 Biomechanics  Student Evaluations Introduces principles of continuum mechanics of biological tissues & systems. 1) Review results used in biomechanics field, 2) properties of living tissue; 3) mechanical basis & effects of pathology & trauma: 4) intro to mechanotransduction, circulatory transport, growth & remodeling & tissue-engineered materials; 5) low Reynolds number flows in vivo & microsystems. Prerequisites: APMA 2120 or MATH 2310 or MATH 2315 and BME Major or Minor"
31,2315,Computational Biomedical Engineering,"BME 2315 Computational Biomedical Engineering  Student Evaluations Introduces techniques for constructing predictive or analytical engineering models for biological processes. Teaches modeling approaches using example problems in transport, mechanics, bioelectricity, molecular dynamics, tissue assembly & imaging. Problem sets include 1) linear systems and filtering 2) compartmental modeling 3) numerical techniques 4) finite element / finite difference models and 5) computational automata models. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113. Co-requisites: APMA 2120 or MATH 2310 or MATH 2315 or instructor permission."
32,3080,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),"BME 3080 Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)  Student Evaluations A year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Testing in tissues/cells & manipulation of molecular constituents to determine structural and functional characteristics for design of therapeutic or measurement systems. Methods incl biochemical, physiological, cell biology, mechanical, electrical and computer, systems, chemical, imaging, and other approaches. Prerequisite: 3rd and 4th Year standing in Biomedical Engineering major"
33,3240,Biotransport,"BME 3240 Biotransport  Student Evaluations Introduces principles and application of fluid and mass transport processes in cell, tissue and organ systems. Topics include intro to physiological fluid mechanics in the circulation and tissue, fundamentals of mass transport in biological systems, effects of mass transport and biochemical interactions at the cell and tissue scales and fluid and mass transport in organs. Prerequisites: APMA 2130 or MATH 3250, or APMA 2501 - Differential Equations & Linear Algebra, and BME 2101, and BME 2104, or instructor permission."
34,3310,Biomedical Systems Analysis and Design,"BME 3310 Biomedical Systems Analysis and Design  Student Evaluations Presents analytical tools used to model signals & linear systems. BME examples include multicompartment modeling of drug delivery, modeling of dynamic biomechanical systems & electrical circuit models of excitable cells. Topics: signals & systems, convolution, continuous time Fourier transforms, electrical circuits & applications of linear system theory. Prerequisite: PHYS 2415 & APMA 2130, & CS 1110 or equivalent"
35,4063,Biomedical Engineering Capstone Design I,"BME 4063 Biomedical Engineering Capstone Design I  Student Evaluations A year-long design project required for BME majors. Students select, formulate, and solve a design problem related to a device or a system. Projects use conceptual design, skills obtained in the integrated lab and substantial literature and patent reviews. Projects are sponsored by faculty, physicians and/or companies. Students may work on their own with outside team members when appropriate or with other students in integrative teams. Prerequisite: 4th year standing in the Biomedical Engineering major or instructor permission."
36,4064,Biomedical Engineering Capstone Design II,"BME 4064 Biomedical Engineering Capstone Design II  Student Evaluations Second half of a year-long design project required for BME majors. Students select, formulate, & solve a design problem related to a device or a system. Projects use conceptual design, skills obtained in the integrated lab & substantial literature and patent reviews. Projects are sponsored by faculty, physicians and/or companies. Students may work on their own with outside team members when appropriate or with other students in integrative teams. Prerequisite: 4th year standing in the Biomedical Engineering major or instructor permission."
37,4290,Stem Cell Engineering,"BME 4290 Stem Cell Engineering  Student Evaluations How does a single fertilized egg grow and divide into every cell in the body, from branching neurons to beating cardiomyocytes and everything in between? Can we harness this knowledge to better understand disease, and to produce therapeutically relevant cell types, tissues, and organs? You will explore what controls stem cell differentiation using hands-on experiments, with emphasis on methods to engineer cell fate for regenerative medicine. Prerequisite: BME 2104"
38,4360,Molecular Data Science,"BME 4360 Molecular Data Science  Student Evaluations Intro to systems-level measurement techniques for capturing molecular information and the mathematical and computational methods for harnessing the information from these measurements to improve our understanding of cell physiology and disease. Practical implementation of the concepts in MATLAB or Python will be applied to existing, real data from published journal articles. Pre-requisites: APMA 3100 or APMA 3110, BME 2104, BME 2315, and CS 1110 or CS 1111 or CS 1112"
39,4390,Bioreaction Kinetics: Biomedical & Pharmacological Perspectives,"BME 4390 Bioreaction Kinetics: Biomedical & Pharmacological Perspectives  Student Evaluations We will learn to bridge the gap between the fields of bioengineering and the science of how drugs interact with biological systems, i.e., Pharmacology, including the principles of biochemical reaction kinetics and engineering; how such principles can help us describe, model, predict and modulate the outcome of biochemical reactions in cells and biological reactors, and apply these principles to the understanding of pharmacological phenomena. Prerequisites: BME 2104 AND APMA 2130"
40,4414,Biomaterials,"BME 4414 Biomaterials  Student Evaluations Introduces biomaterials science and biological interactions with materials with overview of biomaterials testing (in vitro and in vivo) and characterization. Emphasis on emerging novel strategies and design of biomaterials. Areas of concentration include polymers and ceramics in biomaterials, drug delivery, tissue engineering (orthopaedic and vascular) and nanotechnology. Prerequisite: BME 2101, BME 2104, or instructor permission."
41,4550,Special Topics in Biomedical Engineering,"BME 4550 Special Topics in Biomedical Engineering  Student Evaluations Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester. Recent topics include Medical Imaging Systems Theory, BME Advanced Design, BME Electronics Lab, and Systems Biology Modeling and Experimentation. Prerequisite: third- or fourth-year standing or instructor permission."
42,4806,Biomedical Applications of Genetic Engineering,"BME 4806 Biomedical Applications of Genetic Engineering  Student Evaluations Provides a grounding in molecular biology and a working knowledge of recombinant DNA technology, thus establishing a basis for the evaluation and application of genetic engineering in whole animal systems. Beginning with the basic principles of genetics, this course examines the use of molecular methods to study gene expression, deliver viral and non-viral vectors, and its critical role in health. Prerequisite: BME 2101. Co-requisites: BME 2104."
43,4995,Biomedical Engineering Advanced Projects,"BME 4995 Biomedical Engineering Advanced Projects  Student Evaluations A year-long research project in biomedical engineering conducted in consultation with a department faculty advisor; usually related to ongoing faculty research. Includes the design, execution, and analysis of experimental laboratory work and computational or theoretical computer analysis of a problem. Requires a comprehensive report of the results. Prerequisite: third- or fourth-year standing, and instructor permission."
44,6001,Cell and Molecular Physiology for Engineers,"BME 6001 Cell and Molecular Physiology for Engineers  Student Evaluations Students learn foundational concepts about cellular behaviors and the molecular mechanisms that drive them by communicating findings that are published in peer-reviewed scientific and engineering papers. Prereqs: coursework in Biochemistry, Cell Biology, Human Physiology/Pathology/Anatomy"
45,6002,Organ-Level Physiology for Engineers,"BME 6002 Organ-Level Physiology for Engineers  Student Evaluations This course presents organ physiology and pathology as systems that can be studied, measured, and manipulated using biomedical engineering tools and approaches by reading peer-reviewed scientific and engineering papers and discussing them in class. Prereq: knowledge of Biochem, Cell Biology, Human Physiology/Pathology/Anatomy"
46,6004,Signals and Systems Analysis for Biomedical Applications,"BME 6004 Signals and Systems Analysis for Biomedical Applications  Student Evaluations Students learn how to process imperfect biomedical measurements and extract information. Students learn fundamental principles of signal and image processing and machine learning. Prerequisites: Ability to program in MATLAB or Python. Knowledge of calculus, vectors and matrices"
47,6006,Biomedical Data Science and Analytics,BME 6006 Biomedical Data Science and Analytics  Student Evaluations Students learn principles and techniques to computationally approach biomedical research and practice. Students obtain hands-on experience using computational thinking/strategy and build computational models to describe biomedical phenomena or analyze biomedical data. Prereq: BME 6001-6004 and ability in MATLAB or Python.
48,6056,"Going Pro, Professional Development in Biomedical Engineering","BME 6056 Going Pro, Professional Development in Biomedical Engineering  Student Evaluations A professional development course for biomedical engineering graduate students."
49,6550,Special Topics in Biomedical Engineering,"BME 6550 Special Topics in Biomedical Engineering  Student Evaluations Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester."
50,7806,Biomedical Applications of Genetic Engineering,"BME 7806 Biomedical Applications of Genetic Engineering  Student Evaluations Provides biomedical engineers with a grounding in molecular biology and a working knowledge of recombinant DNA technology, thus establishing a basis for the evaluation and application of genetic engineering in whole animal systems. Beginning with the basic principles of genetics, this course examines the use of molecular methods to study gene expression and its critical role in health and disease. Topics include DNA replication, transcription, translation, recombinant DNA methodology, methods for analyzing gene expression (including microarray and genechip analysis), methods for creating genetically-engineered mice, and methods for accomplishing gene therapy by direct in vivo gene transfer. Prerequisite: BME 6103, undergraduate-level cell and/or molecular biology course. (e.g., BME 2104) or instructor permission. Suggested preparation: biochemistry, cell biology, genetics, and physiology.."
51,8900,Graduate Teaching Instruction,BME 8900 Graduate Teaching Instruction  Student Evaluations For master's students.
52,8995,Supervised Project Research (GRAD STUDENTS ONLY),"BME 8995 Supervised Project Research (GRAD STUDENTS ONLY)  Student Evaluations FOR GRAD STUDENTS ONLY. A research project in biomedical engineering conducted in consultation with a faculty advisor. Includes the design, execution, and analysis of experimental laboratory work and computational or theoretical computer analysis of a problem. Fulfills the project requirement for the Biomedical Engineering Masters of Engineering degree. Prereqs: Instructor Permission Required."
53,8999,Master's Research,BME 8999 Master's Research  Student Evaluations Master's Research
54,9999,Dissertation,BME 9999 Dissertation  Student Evaluations Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary.
55,3030,Design and Innovation in Medicine,"BME 3030 Design and Innovation in Medicine  Student Evaluations Project-driven course focusing on biomedical product design with emphasis on marketability, innovation, entrepreneurship and business. Topics include design fundamentals, problem/needs identification, delineation of realistic constraints and product specifications, intellectual property, market analysis, entrepreneurship, specific advanced design, business plan development, venture funding, and medical product testing methods. Pre-requisite: BME 2000 or instructor permission."
56,3090,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),"BME 3090 Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)  Student Evaluations Second part of a year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Prerequisite: 3rd Year standing in BME major, or instructor permission"
57,4315,Systems Bioengineering,"BME 4315 Systems Bioengineering  Student Evaluations This course introduces techniques for constructing mathematical and computational models of biological processes. We utilize experimental data to validate those models at many levels of organizational scale -- from genome to whole-tissue. Prerequisites: APMA 2130 or MATH 3250, BME 2101, BME 2104, and BME 2315."
58,4370,Quantitative Biological Reasoning,"BME 4370 Quantitative Biological Reasoning  Student Evaluations This course will provide students with a quantitative framework for identifying and addressing important biological questions at the molecular, cell, and tissue levels. The course will focus on the interplay between methods and logic, with an emphasis on the themes that emerge repeatedly in quantitative experiments."
59,4380,Microbial Biomedical Engineering,"BME 4380 Microbial Biomedical Engineering  Student Evaluations ""We will explore engineering methods to use """"microbes as tools"""" for human wellbeing, to understand and combat """"microbes as enemies"""" in infectious disease, and to characterize and manipulate """"microbes as partners"""" in human health and wellbeing. We will learn how facets of BME are used to test hypotheses of human/microbe relationships and to design strategies to understand and treat disease and improve human wellbeing. Prerequisites: BME 2000 AND (BME 2101 OR BME 2102) AND BME 2104 AND BME 2315"""
60,4417,Tissue Engineering,"BME 4417 Tissue Engineering  Student Evaluations Introduces the fundamental principles of tissue engineering. Topics: tissue organization and dynamics, cell and tissue characterization, cell-matrix interactions, transport processes in engineered tissues, biomaterials and biological interfaces, stem cells and interacting cell fate processes and tissue engineering methods. Examples of approaches for regeneration of cartilage, bone, ligament, tendons, skin and liver are presented. Prerequisites: APMA 2130 or MATH 3250 or APMA 2501 - Differential Equations & Linear Algebra, and BME 2101, and BME 2104, or instructor permission."
61,4993,Independent Study,BME 4993 Independent Study  Student Evaluations In-depth study of a biomedical engineering area by an individual student in close collaboration with a departmental faculty member. Requires advanced analysis of a specialized topic in biomedical engineering that is not covered by current offerings. Requires faculty contact time and assignments comparable to regular course offerings. Prerequisite: instructor permission.
62,6005,Research Fundamentals for Biomedical Engineers,"BME 6005 Research Fundamentals for Biomedical Engineers  Student Evaluations Students learn to motivate research, design experiments, analyze/display data, present results for their own research. Receive training in professional skills, including project leadership and management, best practices for collaborative research, and developing resilience. Prereq: BME 6001-6004, or permission by instructor"
63,6030,Design and Innovation in Medicine,"BME 6030 Design and Innovation in Medicine  Student Evaluations A project-based grounding in biomedical product design, with emphasis on clinical immersion and topics including design fundamentals, problem/needs identification, delineation of realistic constraints and product specifications, intellectual property, market analysis, entrepreneurship, specific advanced design topics, business plan development, venture funding, and medical product testing methods. Prerequisite: Instructor Permission"
64,6060,Biomedical Innovation,"BME 6060 Biomedical Innovation  Student Evaluations In a team, develop, prototype, and conduct verification and validation tests on engineering solutions to clinical challenges, demonstrating concept viability. Formal Design Control, Life Cycle, Risk Analysis, Project Management and Intellectual Property Strategies are introduced. Using Product Development Protocols, prepare a regulatory and implementation pathway analysis for commercialization into clinical practice. Prerequisite: BME 6550 Special Topics: Clinical Technology Continuum of Care"
65,6315,Systems Bioengineering,"BME 6315 Systems Bioengineering  Student Evaluations Introduces techniques for constructing mathematical and computational models of biological processes at many levels of organizational scale from genome to whole-tissue. Topics include choice of techniques, quantitative characterization of biological properties, assumptions and model simplification, parameter estimation and sensitivity analysis, model verification and validation and integration of computational modeling w/experimental approaches. Prerequisites: BME 6101, and BME 2104 or BME 7806 (or equivalent)."
66,6705,Recent Advances in Public Health Genomics,"BME 6705 Recent Advances in Public Health Genomics  Student Evaluations The course will cover human genetics and genomics, including the human/mammalian genome variation, determination of genomic variation on phenotype and disease risk, mapping and characterizing genetic variants on phenotype, determining the putative impact of genetic variants on gene expression (transcriptomics, epigenomics), the promise and implications of genome science on precision medicine and the ethical, legal & social implications. Pre-requisite: BIOL 3010 or BIOL 4210 or instructor consent."
67,7370,Quantitative Biological Reasonsing,"BME 7370 Quantitative Biological Reasonsing  Student Evaluations Provides students with a quantitative framework for identifying and addressing important biological questions at the molecular, cell, and tissue levels. Focuses on the interplay between methods and logic, with an emphasis on the themes that emerge repeatedly in quantitative experiments. Prerequisites: BME 6101 (or equivalent), SEAS graduate student status, or instructor permission."
68,8783,Advanced Magnetic Resonance Imaging,"BME 8783 Advanced Magnetic Resonance Imaging  Student Evaluations Advanced physics and applications of magnetic resonance imaging and spectroscopy will be covered. Upon completion of this course, the student will understand the factors that affect the MRI signal, and will know how these factors can be exploited to image or measure various aspects of physiology with MR. Prerequisites: BME 8782 Magnetic Resonance Imaing and MATLAB experience."
69,4350,Biomedical Engineering Data Science,"BME 4350 Biomedical Engineering Data Science  Student Evaluations Introduces genomics and bioinformatics theory and tools to analyze large scale biological data. Specific topics covered are Introduction to Linux and R statistical programming language, computations on the high-performance computational cluster, analysis of sequencing data with applications in gene expression and protein/DNA interactions, differential expression analysis, pathway and co-expression network analysis. Prereq: (APMA 3110 or APMA 3100 or MATH 3100) and (CS 1110 or CS 1111 or CS 1112 with grade of C- or better or successfully completed CS 1110 place-out test) and BME major or minor"
70,6003,Biostatistical Analysis and Experimental Design,"BME 6003 Biostatistical Analysis and Experimental Design  Student Evaluations Students learn foundational principals of advanced research, including hypothesis formulation, experimental design, and statistical methods to assess experimental data as it relates to hypothesis testing. Prerequisites: Previous exposure to statistics and programming in a language such as Python, MATLAB, or R."
71,8782,Magnetic Resonance Imaging,"BME 8782 Magnetic Resonance Imaging  Student Evaluations The course covers the physical principles of nuclear magnetic resonance, the biological and medical problems addressed using MRI, the analysis and design of MRI pulse sequences from a signal processing perspective, and MR image reconstruction techniques. It will introduce various advanced topics, including non-Cartesian scanning and compressed sensing. The course will include a laboratory session working with an MRI scanner. Prerequisites: BME 6311 BME Measurement Principles, or knowledge of 2D Fourier transforms and linear systems theory."
72,4783,Medical Imaging Modalities,"BME 4783 Medical Imaging Modalities  Student Evaluations An overview of modern medical imaging modalities with regard to the physical basis of image acquisition and methods of image reconstruction. Topics cover the basic engineering and physical principles underlying the major medical imaging modalities: x-ray (plain film, mammography, CT), nuclear medicine (PET) and (SPECT), ultrasound, and MRI. Prerequisite: BME 2315, BME 3310, or instructor permission."
73,4890,Nanomedicine,"BME 4890 Nanomedicine  Student Evaluations Students will design treatment strategies for cancer and cardiovascular disease based on molecular bioengineering principles. Special topics will include design of nanoparticle drug and gene delivery platforms, materials biocompatibility, cancer immunotherapy, and molecular imaging. Prerequisite: BME 2102 and BME 2315 or instructor permission. Recommended prerequisite: BME 2104 or BME 4414."
74,6311,Research Fundamentals,"BME 6311 Research Fundamentals  Student Evaluations Students will gain a fundamental understanding of the theoretical principles underlying biomedical measurements. Topics are organized sequentially from signal initiation through signal processing to downstream statistical analysis of measurements. Students will be exposed to the practical implementation of general principles through homework assignments that involve the analysis and evaluation of molecular, cellular, and clinical measurements. Prerequisites: 1. BME 6101: Physiology I (or equivalent) 2. SEAS graduate student status 3. Some previous exposure to probability-statistics, Fourier analysis, and linear systems 4. Or Instructor Permission"
75,8995,M.E. Supervised Project Research (M.E. STUDENTS ONLY),"BME 8995 Supervised Project Research (GRAD STUDENTS ONLY)  Student Evaluations FOR GRAD STUDENTS ONLY. A research project in biomedical engineering conducted in consultation with a faculty advisor. Includes the design, execution, and analysis of experimental laboratory work and computational or theoretical computer analysis of a problem. Fulfills the project requirement for the Biomedical Engineering Masters of Engineering degree. Prereqs: Instructor Permission Required."
76,4641,Bioelectricity,"BME 4641 Bioelectricity  Student Evaluations Studies the biophysical mechanisms governing production and transmission of bioelectric signals, measurement of these signals and their analysis in basic and clinical electrophysiology. Introduces the principles of design and operation of therapeutic medical devices used in the cardiovascular and nervous systems. Prerequisite: BME 2101 and (BME 3310 or ECE 2630 or ECE 2300) and BME major or minor, or instructor permission."
77,6101,Physiology I for Engineers,BME 6101 Physiology I for Engineers  Student Evaluations Introduces fundamental concepts of cellular physiology; applies quantitative engineering analysis to intra- and intercellular signaling and mechanical systems relevant to organ physiology and pathology; teaches students to learn to think critically about the physiology and cell biology literature. Prerequisite: BME 2104 or equivalent; proficiency with ODEs.
78,6310,Computation and Modeling in Biomedical Engineering,"BME 6310 Computation and Modeling in Biomedical Engineering  Student Evaluations The principle objective of this course is to instruct graduate students on fundamental mathematical, modeling, and computational principles of relevance in biomedical engineering. The course is structured to provide lecture material, biomedical examples that use modeling and computation, and homework/exams that strengthen the mathematical and computational foundation of the graduate students. Prerequisites: 1. BME 6101: Physiology I (or equivalent) 2. SEAS grad student status 3. Some previous exposure to probability-statistics, Fourier analysis, and linear systems 4. Or instructor permission"
79,3090,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS) Laboratory II,"BME 3090 Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)  Student Evaluations Second part of a year-long course integrating concepts and skills from prior courses to formulate and solve problems in biomedical systems, including experimental design, performance and analysis. Prerequisite: 3rd Year standing in BME major, or instructor permission"
80,3636,Neural Network Models of Cognition and Brain Computation,"BME 3636 Neural Network Models of Cognition and Brain Computation  Student Evaluations An introductory course to neural networks research, specifically biologically-based networks that reproduce cognitive phenomena. The goal of this course is to teach the basic thinking and methodologies used in constructing and understanding neural-like networks. Cross-listed as NESC 5330. 3rd or 4th year standing; or permission of the instructor."
81,8550,Advanced Topics in Biomed Engineering,"BME 8550 Advanced Topics in Biomed Engineering  Student Evaluations Applies engineering science, design methods, and system analysis to developing areas and current problems in biomedical engineering. Topics vary by semester."
